Distrito,Candidato,Partido,Pacto,Votos,%,Resultado,Año
52,Mario Acuña Cisternas,PDC,Concertación por la Democracia,11 694,"19,23",,2001
52,Juan Kaiser Wagner,UDI,Alianza por Chile,7723,"12,7",,2001
52,Mauricio Teillier Del Valle,PCCh,Partido Comunista,1245,"2,05",,2001
53,Patricio Alarcón Barrientos,PCCh,Partido Comunista,3188,"4,3",,2001
53,Raúl Alcaíno Espinoza,UDI,Alianza por Chile,12 864,"17,33",,2001
53,Roberto Delmastro Naso,ILC,Alianza por Chile,25 866,"34,85",Diputado,2001
53,Exequiel Silva Ortiz,DC,Concertación por la Democracia,22 445,"30,24",Diputado,2001
53,Jorge Ruiz Tagle Carrasco,PS,Concertación por la Democracia,9860,"13,28",,2001
54,Jorge Humberto Lara Silva,PCCh,Partido Comunista,2134,"2,79",,2001
54,Carlos Caminondo Saez,RN,Alianza por Chile,12 885,"16,82",,2001
54,Gastón Von Muhlenbrock Zamora,ILC,Alianza por Chile,23 902,"31,2",Diputado,2001
54,Enrique Jaramillo Becker,PPD,Concertación por la Democracia,27 706,"36,16",Diputado,2001
54,Gonzalo Espinoza Pérez,DC,Concertación por la Democracia,9990,"13,04",,2001
55,Sergio Ojeda Uribe,PDC,Concertación por la Democracia,24 752,"33,26",Diputado,2001
55,Javier Hernández Hernández,UDI,Alianza por Chile,23 479,"31,55",Diputado,2001
55,Fernando Becker Melo,ILC,Alianza por Chile,12 351,"16,6",,2001
55,Rolando Werner Santibáñez,PS,Concertación por la Democracia,6413,"8,62",,2001
55,Marina Prochelle Aguilar,IND,Independiente,4324,"5,81",,2001
55,Patricio Miranda Espinoza,PCCh,Partido Comunista,3091,"4,15",,2001
56,Carlos Recondo Lavanderos,UDI,Alianza por Chile,19 992,"29,17",Diputado,2001
56,Fidel Espinoza Sandoval,PS,Concertación por la Democracia,18 436,"26,9",Diputado,2001
56,Pedro Campos Jarami,PDC,Concertación por la Democracia,17 801,"25,97",,2001
