Pacto o partido,Sigla,Candidatos,Votos,% Votos,N° Diputados,% Diputados,Año
Unión Demócrata Independiente,UDI,,1 179 342,"18,96 %",29,"24,16 %",2013
Independientes Lista J,ILJ,,146 402,"2,35 %",1,"0,83 %",2013
Independientes fuera de pacto,IND,,206 634,"3,32 %",3,"2,50 %",2013
Por Todo Chile (B),,,235 576,"3,93 %",1,"0,65 %",2017
Partido Progresista,PRO,,200 110,"3,34 %",1,"0,65 %",2017
País,PAIS,,35 466,"0,59 %",0,0 %,2017
Partido de Trabajadores Revolucionarios (D),PTR,,4665,"0,08 %",0,0 %,2017
Frente Amplio (G),,,989 353,"16,50 %",20,"12,90 %",2017
Revolución Democrática,RD,,343 193,"5,72 %",10,"6,45 %",2017
Partido Humanista,PH,,253 822,"4,23 %",5,"3,23 %",2017
Partido Liberal,PL,,46 502,"0,78 %",2,"1,29 %",2017
Partido Igualdad,IGUAL,,129 310,"2,16 %",1,"0,65 %",2017
Partido Ecologista Verde,PEV,,128 789,"2,15 %",1,"0,65 %",2017
Poder,PODER,,87 737,"1,46 %",1,"0,65 %",2017
Sumemos (H),,,94 477,"1,58 %",0,0 %,2017
Amplitud,AMP,,61 302,"1,02 %",0,0 %,2017
Ciudadanos,CIU,,30 300,"0,51 %",0,0 %,2017
Todos,TODOS,,2875,"0,05 %",0,0 %,2017
Coalición Regionalista Verde (K),,,115 323,"1,92 %",4,"2,58 %",2017
Federación Regionalista Verde Social,FREVS,,94 744,"1,58 %",4,"2,58 %",2017
Democracia Regional Patagónica,DRP,,20 759,"0,34 %",0,0 %,2017
Unión Patriótica (M),UPA,,51 369,"0,86 %",0,0 %,2017
La Fuerza de la Mayoría (N),,,1 442 196,"24,05 %",43,"27,74 %",2017
Partido Socialista de Chile,PS,,584 972,"9,75 %",19,"12,26 %",2017
Partido por la Democracia,PPD,,365 779,"6,10 %",8,"5,16 %",2017
Partido Comunista de Chile,PCCh,,274 935,"4,58 %",8,"5,16 %",2017
Partido Radical Socialdemócrata,PRSD,,216 510,"3,61 %",8,"5,16 %",2017
Convergencia Democrática (O),,,640 612,"10,62 %",14,"9,03 %",2017
Partido Demócrata Cristiano,PDC,,616 668,"10,28 %",14,"9,03 %",2017
Izquierda Ciudadana,IC,,14 344,"0,24 %",0,0 %,2017
MAS Región,MR,,9600,"0,16 %",0,0 %,2017
Chile Vamos (P),,,2 318 719,"38,66 %",72,"46,45 %",2017
Renovación Nacional,RN,,1 066 764,"17,79 %",36,"23,23 %",2017
Unión Demócrata Independiente,UDI,,957 032,"15,96 %",30,"19,35 %",2017
Evolución Política,EVOP,,255 193,"4,26 %",6,"3,87 %",2017
Partido Regionalista Independiente,PRI,,39 730,"0,66 %",0,0 %,2017
Independientes fuera de pacto,IND,,104 960,"1,75 %",1,"0,65 %",2017
Chile Podemos + (AA),,,1 609 482,"25,43 %",53,,2021
Renovación Nacional,RN,,693 474,"10,96 %",25,,2021
Unión Demócrata Independiente,UDI,,671 502,"10,61 %",23,,2021
Evolución Política,EVO,,221 284,"3,50 %",4,,2021
Partido Regionalista Independiente Demócrata,PRI,,23 222,"0,37 %",1,,2021
Partido de la Gente (AB),PDG,,534 881,"8,45 %",6,,2021
Partido de Trabajadores Revolucionarios (AE),PTR,,51 075,"0,81 %",0,,2021
Nuevo Pacto Social (AH),,,1 085 978,"17,16 %",37,,2021
Partido Socialista,PS,,343 437,"5,43 %",13,,2021
Partido Demócrata Cristiano,PDC,,264 985,"4,19 %",8,,2021
Partido por la Democracia,PPD,,242 927,"3,84 %",7,,2021
Partido Radical,PR,,111 117,"1,76 %",4,,2021
Partido Liberal,PL,,96 010,"1,52 %",4,,2021
Ciudadanos,CIU,,27 502,"0,43 %",1,,2021
Partido Ecologista Verde (AL),PEV,,305 443,"4,83 %",2,,2021
Unión Patriótica (AM),UPA,,56 506,"0,89 %",0,,2021
Dignidad Ahora (AN),,,322 915,"5,10 %",3,,2021
Partido Humanista,PH,,195 409,"3,09 %",3,,2021
Partido Igualdad,IGUAL,,127 506,"2,01 %",0,,2021
Frente Social Cristiano (AP),,,707 286,"11,18 %",15,,2021
Partido Republicano,PRCh,,666 726,"10,54 %",14,,2021
Partido Conservador Cristiano,PCC,,40 560,"0,64 %",1,,2021
Apruebo Dignidad (AR),,,1 325 232,"20,94 %",37,,2021
Partido Comunista,PCCh,,464 885,"7,35 %",12,,2021
Convergencia Social,CS,,287 190,"4,54 %",9,,2021
Revolución Democrática,RD,,257 854,"4,07 %",8,,2021
Comunes,COM,,207 607,"3,28 %",6,,2021
Federación Regionalista Verde Social,FRVS,,107 696,"1,70 %",2,,2021
Nuevo Tiempo (AT),NT,,4420,"0,07 %",0,,2021
Independientes Unidos (AW),,,187 396,"2,96 %",1,,2021
Centro Unido,CU,,177 105,"2,80 %",1,,2021
Partido Nacional Ciudadano,PNC,,10 291,"0,16 %",0,,2021
Partido Progresista (AY),PRO,,46 422,"0,73 %",0,,2021
Independientes fuera de pacto,IND,,90 960,"1,44 %",1,,2021
Partido Ecologista Verde (A),PEV,,88 431,"0,83 %",0,,2025
"Verdes, Regionalistas y Humanistas (B)",,,741 005,"6,91 %",3,,2025
Federación Regionalista Verde Social,FRVS,,469 942,"4,38 %",2,,2025
Acción Humanista,AH,,271 063,"2,53 %",1,,2025
Unidad por Chile (C),,,3 280 644,"30,61 %",61,,2025
Frente Amplio,FA,,809 428,"7,55 %",17,,2025
Partido Socialista,PS,,586 348,"5,47 %",11,,2025
Partido Comunista,PCCh,,538 793,"5,03 %",11,,2025
Partido Demócrata Cristiano,PDC,,452 847,"4,23 %",8,,2025
Partido por la Democracia,PPD,,430 524,"4,02 %",9,,2025
Partido Liberal,PL,,237 343,"2,21 %",3,,2025
Partido Radical,PR,,225 361,"2,10 %",2,,2025
Izquierda Ecologista Popular Animalista y Humanista (D),,,279 551,"2,61 %",0,,2025
Partido Humanista,PH,,199 680,"1,86 %",0,,2025
Igualdad,IGUAL,,79 871,"0,75 %",0,,2025
Movimiento Amarillos por Chile (E),AxCh,,87 744,"0,82 %",0,,2025
Partido de Trabajadores Revolucionarios (F),PTR,,65 058,"0,61 %",0,,2025
Partido Alianza Verde Popular (G),PAVP,,69 410,"0,65 %",0,,2025
Popular (H),POP,,23 365,"0,22 %",0,,2025
Partido de la Gente (I),PDG,,1 285 464,"11,99 %",14,,2025
