Distrito,parlamentario/a,coalición,partido político,Votos obtenidos,% obtenido,año elección
41,Isidoro Tohá González,Concertación de Partidos por la Democracia,PS,41206,"33,27%",1993
41,Rosauro Martínez Labbé,Unión por el progreso de Chile,Ind-RN,46727,"37,73%",1993
42,Hosaín Sabag Castillo,Concertación de Partidos por la Democracia,DC,63600,"56,35%",1993
42,Felipe Letelier Norambuena,Concertación de Partidos por la Democracia,PPD,21155,"18,74%",1993
43,Jorge Ulloa Aguillón,Unión por el progreso de Chile,UDI,33558,"27,96%",1993
43,Víctor Jeame Barrueto,Concertación de Partidos por la Democracia,PPD,30361,"25,3%",1993
44,José Miguel Ortiz Novoa,Concertación de Partidos por la Democracia,DC,55622,"33,29%",1993
44,José Antonio Viera Gallo Quesney,Concertación de Partidos por la Democracia,PS,51829,"31,02%",1993
45,Edmundo Salas de la Fuente,Concertación de Partidos por la Democracia,DC,44680,"40,95%",1993
45,Alejandro Navarro Brain,Concertación de Partidos por la Democracia,PS,27328,"25,05%",1993
46,Martita Worner Tapia,Concertación de Partidos por la Democracia,PPD,39059,"41,45%",1993
46,Jaime Rocha Manrique,Concertación de Partidos por la Democracia,PR,17384,"18,45%",1993
47,Octavio Jara Wolff,Concertación de Partidos por la Democracia,PPD,54079,"38,2%",1993
47,Víctor Pérez Varela,Unión por el progreso de Chile,UDI,32446,"22,92%",1993
48,Edmundo Villouta Concha,Concertación de Partidos por la Democracia,DC,21272,"29,78%",1993
48,Francisco Bayo Veloso,Unión por el progreso de Chile,RN,14498,"20,3%",1993
49,Miguel Hernández Saffirio,Concertación de Partidos por la Democracia,DC,19518,"29,74%",1993
49,José Antonio Galilea Vidaurre,Unión por el progreso de Chile,RN,18773,"28,6%",1993
50,Francisco Huenchumilla,Concertación de Partidos por la Democracia,DC,55798,"42,27%",1993
50,José García Ruminot,Unión por el progreso de Chile,RN,39505,"33,47%",1993
51,Eugenio Tuma Zedán,Concertación de Partidos por la Democracia,PPD,20818,"31,58%",1993
51,Teodoro Ribera Neumann,Unión por el progreso de Chile,RN,17800,27%,1993
52,Mario Acuña Cisternas,Concertación de Partidos por la Democracia,DC,23013,"36,44%",1993
52,René Manuel García García,Unión por el progreso de Chile,RN,24914,"39,45%",1993
53,Exequiel Silva Ortiz,Concertación de Partidos por la Democracia,DC,27531,"32,91%",1993
53,Juan Enrique Taladriz García,Unión por el progreso de Chile,RN,30060,"35,93%",1993
54,José Luis González Rodríguez,Concertación de Partidos por la Democracia,PPD,25305,"31,1%",1993
54,Carlos Caminondo Sáez,Unión por el progreso de Chile,RN,24249,"29,8%",1993
55,Sergio Ojeda Uribe,Concertación de Partidos por la Democracia,DC,27737,"35,06%",1993
55,Marina Prochelle Aguilar,Unión por el progreso de Chile,RN,21005,"26,55%",1993
56,Víctor Reyes Alvarado,Concertación de Partidos por la Democracia,DC,26685,"37,99%",1993
56,Harry Jurgensen Caesar,Unión por el progreso de Chile,RN,18938,"26,96%",1993
57,Sergio Elgueta Barrientos,Concertación de Partidos por la Democracia,DC,24895,"30,85%",1993
57,Carlos Ignacio Kuschel Silva,Unión por el progreso de Chile,RN,20287,"25,14%",1993
58,Gabriel Ascencio Mansilla,Concertación de Partidos por la Democracia,DC,22172,"32,56%",1993
58,Claudio Alvarado Andrade,Unión por el progreso de Chile,Ind-UDI,15505,"22,77%",1993
59,Héctor Zambrano Opazo,Concertación de Partidos por la Democracia,DC,10230,"26,95%",1993
59,Valentín Solís Cabezas,Unión por el progreso de Chile,UCC,8318,"21,91%",1993
60,Pedro Muñoz Aburto,Concertación de Partidos por la Democracia,PS,21504,"29,79%",1993
60,Vicente Karelovic Vrandecic,Unión por el progreso de Chile,Ind-UDI,17102,"23,69%",1993
1,Salvador Urrutia Cárdenas,Concertación de Partidos por la Democracia,PPD,14358,"21,28%",1997
1,Rosa González Román,Fuera de Pacto,Ind,17680,"26,2%",1997
2,Antonella Sciaraffia Estrada,Concertación de Partidos por la Democracia,DC,28580,"36,97%",1997
2,Jorge Soria Macchiavello,Concertación de Partidos por la Democracia,PPD,21184,"27,41%",1997
3,Fanny Pollarolo Villa,Concertación de Partidos por la Democracia,PS,26254,"40,58%",1997
3,Waldo Mora Longa,Concertación de Partidos por la Democracia,DC,13812,"21,35%",1997
4,Felipe Valenzuela Herrera,Concertación de Partidos por la Democracia,PS,31556,"31,4%",1997
4,Manuel Rojas Molina,Unión por Chile,UDI,21412,"21,3%",1997
5,Antonio Leal Labrín,Concertación de Partidos por la Democracia,PPD,13242,"27,04%",1997
5,Carlos Vilches Guzmán,Unión por Chile,RN,10502,"21,44%",1997
6,Baldo Prokurica Prokurica,Unión por Chile,RN,14753,"37,89%",1997
6,Jaime Mulet Martínez,Concertación de Partidos por la Democracia,DC,12012,"30,85%",1997
7,Joaquín Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,18642,"25,5%",1997
7,Mario Bertolino Rendic,Unión por Chile,RN,15921,"21,78%",1997
8,Patricio Walker Prieto,Concertación de Partidos por la Democracia,DC,30246,35%,1997
8,Francisco Encina Moriamez,Concertación de Partidos por la Democracia,PS,22301,"25,81%",1997
9,Adriana Muñoz D'Albora,Concertación de Partidos por la Democracia,PPD,14757,"26,68%",1997
9,Darío Molina Sanhueza,Unión por Chile,UDI,8662,"15,66%",1997
10,Ignacio Walker Prieto,Concertación de Partidos por la Democracia,DC,46015,"39,81%",1997
10,Alfonso Vargas Lyng,Unión por Chile,RN,34704,"30,03%",1997
11,Nelson Ávila Contreras,Concertación de Partidos por la Democracia,PPD,56126,"58,47%",1997
11,Patricio Cornejo Vidaurrazaga,Concertación de Partidos por la Democracia,DC,8268,"8,61%",1997
12,Juan Bustos Ramírez,Concertación de Partidos por la Democracia,PS,23614,"27,6%",1997
12,Arturo Longton Guerrero,Unión por Chile,RN,27489,"32,13%",1997
13,Aldo Cornejo González,Concertación de Partidos por la Democracia,DC,36691,"33,43%",1997
13,Francisco Bartolucci Johnston,Unión por Chile,UDI,34797,"31,71%",1997
14,Laura Soto González,Concertación de Partidos por la Democracia,PPD,39432,"31,29%",1997
14,Gonzalo Ibáñez Santa María,Unión por Chile,Ind-UDI,35363,"28,06%",1997
15,Samuel Venegas Rubio,Fuera de Pacto,Ind,22342,"33,03%",1997
15,Sergio Velasco de La Cerda,Concertación de Partidos por la Democracia,DC,14566,"21,54%",1997
16,Zarko Luksic Sandoval,Concertación de Partidos por la Democracia,DC,34030,"30,74%",1997
16,Patricio Melero Abaroa,Unión por Chile,UDI,33483,"30,24%",1997
17,Manuel Bustos Huerta[nota 3],Concertación de Partidos por la Democracia,DC,33025,"22,45%",1997
17,María Antonieta Saa Díaz,Concertación de Partidos por la Democracia,PPD,49432,"33,6%",1997
18,Guido Girardi Lavín,Concertación de Partidos por la Democracia,PPD,115791,"65,92%",1997
18,Carlos Olivares Zepeda,Concertación de Partidos por la Democracia,DC,11080,"6,31%",1997
19,Patricio Hales Dib,Concertación de Partidos por la Democracia,PPD,34625,"31,87%",1997
19,Cristián Leay Morán,Unión por Chile,UDI,32401,"29,82%",1997
20,Luis Pareto González,Concertación de Partidos por la Democracia,DC,64619,"34,2%",1997
20,Gustavo Alessandri Valdés,Unión por Chile,RN,55117,"29,17%",1997
21,Alberto Espina Otero,Unión por Chile,RN,68627,"41,19%",1997
21,Gutenberg Martínez Ocamina,Concertación de Partidos por la Democracia,DC,39077,"23,45%",1997
22,Alberto Cardemil Herrera,Unión por Chile,RN,33917,"31,06%",1997
22,Enrique Krauss Rusque,Concertación de Partidos por la Democracia,DC,31530,"28,87%",1997
23,Julio Dittborn Cordua,Unión por Chile,UDI,58446,"34,05%",1997
23,Pía Guzmán Mena,Unión por Chile,RN,50516,"29,43%",1997
24,María Angélica Cristi Marfil,Unión por Chile,RN,61810,"50,79%",1997
