Distrito ,parlamentario/a,coalición ,partido político ,votos obtenidos,% obtenido ,año elección ,región 
55[d],Sergio Ojeda Uribe,Nueva Mayoría,DC,24 071,"34,20 %",2013,
55[d],Javier Hernández Hernández,Alianza,UDI,19 280,"27,40 %",2013,
56[d],Fidel Espinoza Sandoval,Nueva Mayoría,PS,38 554,"55,16 %",2013,
56[d],Felipe de Mussy Hiriart,Alianza,UDI,15 961,"22,84 %",2013,
57[d],Patricio Vallespin López,Nueva Mayoría,DC,37 964,"45,32 %",2013,
57[d],Marisol Turres Figueroa,Alianza,UDI,19 292,"23,03 %",2013,
58[d],Jenny Álvarez Vera,Nueva Mayoría,PS,23 895,"38,09 %",2013,
58[d],Alejandro Santana Tirachini,Alianza,RN,20 526,"32,72 %",2013,
59[d],Iván Fuentes Castillo,Nueva Mayoría,Ind-PDC,9128,"25,36 %",2013,
59[d],David Sandoval Plaza,Alianza,UDI,8595,"23,88 %",2013,
60[d],Gabriel Boric Font,Fuera de Pacto,Ind,15 417,"26,18 %",2013,
60[d],Juan Morano Cornejo,Nueva Mayoría,DC,10 760,"18,27 %",2013,
1[d],Vlado Mirosevic Verdugo,FA,PL,24 273,"34,10 %",2017,
1[d],Nino Baltolu Rasera,ChV,UDI,9272,"13,03 %",2017,
1[d],Luis Rocafull López,LFM,PS,6430,"9,03 %",2017,
2[d],Renzo Trisotti Martínez,ChV,UDI,20 084,"22,21 %",2017,
2[d],Ramón Galleguillos Castillo,ChV,RN,17 279,"19,02 %",2017,
2[d],Hugo Gutiérrez Gálvez[nota 1],LFM,PCCh,14 332,"15,87 %",2017,
3[d],Paulina Núñez Urrutia,ChV,RN,37 768,"23,27 %",2017,
3[d],José Miguel Castro Bascuñán,ChV,RN,5183,"3,19 %",2017,
3[d],Marcela Hernando Pérez,LFM,PR,14 817,"9,13 %",2017,
3[d],Esteban Velásquez Núñez,CRV,FREVS,10 067,"6,20 %",2017,
3[d],Catalina Pérez Salinas,FA,RD,6106,"3,76 %",2017,
4[d],Daniella Cicardini Milla,LFM,PS,16 488,"17,55 %",2017,
4[d],Juan Santana Castillo,LFM,PS,6245,"6,66 %",2017,
4[d],Sofía Cid Versalovic,ChV,RN,13 325,"14,20 %",2017,
4[d],Nicolás Noman Garrido,ChV,UDI,5974,"6,37 %",2017,
4[d],Jaime Mulet Martínez,CRV,FREVS,9393,"10,06 %",2017,
5d],Sergio Gahona Salazar,ChV,UDI,27 332,"11,77 %",2017,
5d],Juán Manuel Fuenzalida Cobo,ChV,UDI,4331,"1,87 %",2017,
5d],Francisco Eguiguren Correa,ChV,RN,11 132,"4,80 %",2017,
5d],Pedro Velásquez Seguel,CRV,Ind-FREVS,22 587,"9,68 %",2017,
5d],Daniel Núñez Arancibia,LFM,PCCh,15 300,"6,61 %",2017,
5d],Raúl Saldívar Auger,LFM,PS,11 077,"4,78 %",2017,
5d],Matías Walker Prieto,CODE,DC,15 468,"6,66 %",2017,
6[d],Andrés Longton Herrera,ChV,RN,38 874,"12,21 %",2017,
6[d],Luis Pardo Sáinz,ChV,RN,15 725,"4,96 %",2017,
6[d],Camila Flores Oporto,ChV,RN,15 283,"4,81 %",2017,
6[d],Pablo Kast Sommerhoff,ChV,Ind-EVOP,28 465,"8,94 %",2017,
6[d],Marcelo Schilling Rodríguez,LFM,PS,20 072,"6,31 %",2017,
6[d],Carolina Marzán Pinto,LFM,PPD,14 422,"4,53 %",2017,
6[d],Daniel Verdessi Belemmi,CODE,DC,11 571,"3,65 %",2017,
6[d],Diego Ibáñez Cotroneo,FA,PH,9185,"2,89 %",2017,
7[d],María José Hoffmann Opazo,ChV,UDI,34 690,"10,78 %",2017,
7[d],Osvaldo Urrutia Soto,ChV,UDI,18 198,"5,67 %",2017,
7[d],Andrés Celis Montt,ChV,RN,21 285,"6,62 %",2017,
7[d],Camila Rojas Valderrama,FA,Ind-PI,14 885,"4,61 %",2017,
7[d],Jorge Brito Hasbún,FA,RD,13 289,"4,13 %",2017,
7[d],Rodrigo González Torres,LFM,PPD,16 849,"5,21 %",2017,
7[d],Marcelo Díaz Díaz,LFM,PS,15 265,"4,72 %",2017,
7[d],Víctor Torres Jeldes,CODE,DC,14 942,"4,62 %",2017,
8[d],Joaquín Lavín León,ChV,UDI,75 973,"17,84 %",2017,
8[d],Patricio Melero Abaroa,ChV,UDI,23 042,"5,42 %",2017,
8[d],Mario Desbordes Jiménez[nota 3],ChV,RN,17 799,"4,20 %",2017,
8[d],Claudia Mix Jiménez,FA,Poder,20 958,"4,94 %",2017,
