Distrito ,parlamentario/a,coalición ,partido político ,votos obtenidos,% obtenido ,año elección ,región 
23[d],Eliana Caraball Martínez,Concertación de Partidos por la Democracia,DC,49 961,"26,56 %",1989,
24[d],María Angélica Cristi Marfil,Democracia y Progreso,Ind-RN,47 633,"34,43 %",1989,
24[d],Laura Rodríguez Riccomini[nota 1],Concertación de Partidos por la Democracia,PH,40 526,"29,29 %",1989,
25[d],Andrés Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,83 715,"42,78 %",1989,
25[d],Jaime Orpis Bouchón,Democracia y Progreso,UDI,42 733,"21,83 %",1989,
26[d],Carlos Montes Cisternas,Concertación de Partidos por la Democracia,PPD,51 504,"35,79 %",1989,
26[d],Gustavo Alessandri Balmaceda,Democracia y Progreso,Ind-RN,30 484,"21,18 %",1989,
27[d],Hernán Rojo Avendaño,Concertación de Partidos por la Democracia,DC,69 757,"35,27 %",1989,
27[d],Camilo Escalona Medina,Liberal-Socialista Chileno,Ind-PS (Almeyda),50 949,"25,76 %",1989,
28[d],Rodolfo Seguel Molina,Concertación de Partidos por la Democracia,DC,85 358,"42,53 %",1989,
28[d],Mario Palestro Rojas,Liberal-Socialista Chileno,Ind-PS (Almeyda),44 649,"22,25 %",1989,
29[d],Guillermo Yunge Bustamante,Concertación de Partidos por la Democracia,DC,63 598,"41,32 %",1989,
29[d],Jaime Estévez Valencia,Concertación de Partidos por la Democracia,PPD,35 120,"22,82 %",1989,
30[d],Andrés Aylwin Azócar,Concertación de Partidos por la Democracia,DC,81 125,"55,75 %",1989,
30[d],Pablo Longueira Montes,Democracia y Progreso,UDI,37 470,"25,75 %",1989,
31[d],Vicente Sota Barros,Concertación de Partidos por la Democracia,PPD,43 931,"30,70 %",1989,
31[d],Juan Antonio Coloma Correa,Democracia y Progreso,UDI,29 348,"20,51 %",1989,
32[d],Héctor Olivares Solís,Concertación de Partidos por la Democracia,Ind-PPD,37 363,"38,34 %",1989,
32[d],Federico Mekis Martínez,Democracia y Progreso,RN,32 985,"33,85 %",1989,
33[d],Juan Pablo Letelier Morel,Unidad para la Democracia,PAIS,28 451,"27,61 %",1989,
33[d],Andrés Chadwick Piñera,Democracia y Progreso,UDI,27 837,"27,01 %",1989,
34[d],Hugo Rodríguez Guerrero,Concertación de Partidos por la Democracia,DC,19 798,"22,45 %",1989,
34[d],Juan Masferrer Pellizari,Democracia y Progreso,Ind-UDI,17 987,"20,39 %",1989,
35[d],Juan Carlos Latorre Carmona,Concertación de Partidos por la Democracia,DC,21 664,"31,03 %",1989,
35[d],José María Hurtado Ruiz-Tagle,Democracia y Progreso,RN,11 953,"17,12 %",1989,
36[d],Gustavo Ramírez Vergara,Concertación de Partidos por la Democracia,DC,44 825,"39,10 %",1989,
36[d],Sergio Correa de La Cerda,Democracia y Progreso,UDI,26 457,"23,08 %",1989,
37[d],Eugenio Ortega Riquelme,Concertación de Partidos por la Democracia,DC,39 157,"44,66 %",1989,
37[d],Sergio Aguiló Melo,Concertación de Partidos por la Democracia,Ind-IC,19 405,"22,13 %",1989,
38[d],Jaime Campos Quiroga,Concertación de Partidos por la Democracia,PR,34 538,"50,43 %",1989,
38[d],Pedro Álvarez-Salamanca Büchi,Democracia y Progreso,RN,12 628,"18,44 %",1989,
39[d],Jaime Naranjo Ortiz,Concertación de Partidos por la Democracia,Ind-IC,31 420,"37,41 %",1989,
39[d],Luis Navarrete Carvacho,Democracia y Progreso,Ind-UDI,15 452,"18,40 %",1989,
40[d],Manuel Matta Aragay,Concertación de Partidos por la Democracia,DC,25 029,"33,25 %",1989,
40[d],Alfonso Rodríguez Del Río,Democracia y Progreso,RN,14 578,"19,37 %",1989,
41[d],Isidoro Tohá González,Concertación de Partidos por la Democracia,Ind-PPD,40 477,"32,65 %",1989,
41[d],Pedro Guzmán Álvarez,Democracia y Progreso,UDI,25 709,"20,74 %",1989,
42[d],Hosaín Sabag Castillo[nota 2],Fuera de Pacto,Ind,43 194,"39,06 %",1989,
42[d],Hugo Álamos Vásquez,Democracia y Progreso,RN,29 491,"26,67 %",1989,
43[d],Víctor Jeame Barrueto,Concertación de Partidos por la Democracia,PPD,41 356,"34,27 %",1989,
43[d],Jorge Ulloa Aguillón,Democracia y Progreso,UDI,17 401,"14,42 %",1989,
44[d],José Miguel Ortiz Novoa,Concertación de Partidos por la Democracia,DC,56 709,"32,80 %",1989,
44[d],José Antonio Viera Gallo Quesney,Concertación de Partidos por la Democracia,PPD,51 969,"30,06 %",1989,
45[d],Edmundo Salas de la Fuente,Concertación de Partidos por la Democracia,DC,33 965,"31,49 %",1989,
45[d],Juan Martínez Sepúlveda,Unidad para la Democracia,PAIS,24 799,"22,99 %",1989,
46[d],Claudio Huepe García,Concertación de Partidos por la Democracia,DC,34 647,"35,93 %",1989,
46[d],Jaime Rocha Manrique,Concertación de Partidos por la Democracia,PR,16 493,"17,10 %",1989,
47[d],Víctor Pérez Varela,Democracia y Progreso,Ind-UDI,36 941,"26,95 %",1989,
47[d],Octavio Jara Wolff,Concertación de Partidos por la Democracia,PPD,34 746,"25,35 %",1989,
48[d],Edmundo Villouta Concha,Concertación de Partidos por la Democracia,DC,22 711,"32,16 %",1989,
48[d],Francisco Bayo Veloso,Democracia y Progreso,RN,15 644,"22,15 %",1989,
49[d],Roberto Muñoz Barra,Concertación de Partidos por la Democracia,Ind-SDCH,24 958,"37,82 %",1989,
49[d],José Antonio Galilea Vidaurre,Democracia y Progreso,RN,14 024,"21,25 %",1989,
50[d],Francisco Huenchumilla Jaramillo,Concertación de Partidos por la Democracia,DC,46 279,"38,67 %",1989,
50[d],José García Ruminot,Democracia y Progreso,RN,35 240,"29,44 %",1989,
51[d],José Peña Meza,Concertación de Partidos por la Democracia,PR,15 875,"25,06 %",1989,
51[d],Teodoro Ribera Neumann,Democracia y Progreso,RN,13 273,"20,96 %",1989,
52[d],Mario Acuña Cisternas,Concertación de Partidos por la Democracia,DC,18 623,"29,75 %",1989,
52[d],René Manuel García García,Democracia y Progreso,RN,18 305,"29,24 %",1989,
53[d],Juan Concha Urbina,Concertación de Partidos por la Democracia,DC,32 085,"37,41 %",1989,
53[d],Juan Enrique Taladriz García,Democracia y Progreso,RN,22 947,"26,76 %",1989,
54[d],Carlos Caminondo Sáez,Democracia y Progreso,RN,23 894,"29,82 %",1989,
54[d],Mario Devaud Ojeda,Concertación de Partidos por la Democracia,PR,20 042,"25,01 %",1989,
55[d],Sergio Ojeda Uribe,Concertación de Partidos por la Democracia,DC,30 536,"38,95 %",1989,
55[d],Marina Prochelle Aguilar,Democracia y Progreso,RN,21 134,"26,96 %",1989,
56[d],Víctor Reyes Alvarado,Concertación de Partidos por la Democracia,DC,19 077,"28,49 %",1989,
56[d],Carlos Recondo Lavanderos,Democracia y Progreso,UDI,12 565,"18,76 %",1989,
57[d],Sergio Elgueta Barrientos,Concertación de Partidos por la Democracia,DC,22 651,"28,63 %",1989,
57[d],Carlos Kuschel Silva,Democracia y Progreso,RN,21 211,"26,81 %",1989,
58[d],Dionisio Faulbaum Mayorga,Concertación de Partidos por la Democracia,PR,18 252,"27,39 %",1989,
58[d],Juan Alberto Pérez Muñoz,Democracia y Progreso,RN,16 216,"24,34 %",1989,
59[d],Antonio Horvath Kiss,Democracia y Progreso,Ind-RN,13 778,"37,74 %",1989,
59[d],Baldemar Carrasco Muñoz,Concertación de Partidos por la Democracia,DC,9264,"25,38 %",1989,
60[d],Milenko Vilicic Karnincic,Concertación de Partidos por la Democracia,Ind-PAC[nota 3],27 546,"34,85 %",1989,
60[d],Carlos Smok Ubeda,Concertación de Partidos por la Democracia,PPD,23 857,"30,18 %",1989,
1[d],Salvador Urrutia Cárdenas,Concertación de Partidos por la Democracia,PPD,35 928,"43,04 %",1993,
1[d],Carlos Valcarce Medina,Unión por el progreso de Chile,RN,24 386,"29,21 %",1993,
2[d],Jorge Soria Macchiavello,Concertación de Partidos por la Democracia,PPD,23 941,"30,37 %",1993,
2[d],Ramón Pérez Opazo,Unión por el progreso de Chile,RN,28 909,"36,67 %",1993,
3[d],Fanny Pollarolo Villa,Concertación de Partidos por la Democracia,Ind-PDI,34 426,"42,82 %",1993,
3[d],Carlos Cantero Ojeda,Unión por el progreso de Chile,RN,17 931,"22,30 %",1993,
4[d],Felipe Valenzuela Herrera,Concertación de Partidos por la Democracia,PS,31 799,"27,45 %",1993,
4[d],Rubén Gajardo Chacón,Concertación de Partidos por la Democracia,DC,43 761,"37,78 %",1993,
5[d],Erick Villegas González,Concertación de Partidos por la Democracia,DC,19 090,"28,94 %",1993,
5[d],Carlos Vilches Guzmán,Unión por el progreso de Chile,RN,13 320,"20,19 %",1993,
6[d],Armando Arancibia Calderón,Concertación de Partidos por la Democracia,PS,11 345,"25,95 %",1993,
6[d],Baldo Prokurica Prokurica,Unión por el progreso de Chile,RN,12 125,"27,74 %",1993,
7[d],Joaquín Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,24 562,"29,47 %",1993,
7[d],Eugenio Munizaga Rodríguez,Unión por el progreso de Chile,RN,23 007,"27,61 %",1993,
8[d],Jorge Pizarro Soto,Concertación de Partidos por la Democracia,DC,51 258,"52,33 %",1993,
8[d],Francisco Encina Moriamez,Concertación de Partidos por la Democracia,PS,13 360,"13,64 %",1993,
9[d],Renán Fuentealba Vildósola,Concertación de Partidos por la Democracia,DC,15 512,"24,63 %",1993,
9[d],Isabel Allende Bussi,Concertación de Partidos por la Democracia,PS,21 752,"34,54 %",1993,
10[d],Ignacio Walker Prieto,Concertación de Partidos por la Democracia,DC,46 214,"34,25 %",1993,
10[d],Alfonso Vargas Lyng,Unión por el progreso de Chile,RN,32 840,"24,34 %",1993,
11[d],Nelson Ávila Contreras,Concertación de Partidos por la Democracia,PPD,34 554,"33,08 %",1993,
11[d],Claudio Rodríguez Cataldo,Unión por el progreso de Chile,RN,29 213,"27,96 %",1993,
12[d],Iván de La Maza Maillet,Concertación de Partidos por la Democracia,DC,42 891,"37,78 %",1993,
12[d],Arturo Longton Guerrero,Unión por el progreso de Chile,RN,38 630,"34,03 %",1993,
13[d],Aldo Cornejo González,Concertación de Partidos por la Democracia,DC,64 232,"41,67 %",1993,
13[d],Francisco Bartolucci Johnston,Unión por el progreso de Chile,UDI,45 010,"29,20 %",1993,
14[d],José Makluf Campos,Concertación de Partidos por la Democracia,DC,44 996,"28,10 %",1993,
14[d],Raúl Urrutia Ávila,Unión por el progreso de Chile,RN,47 729,"29,81 %",1993,
15[d],Samuel Venegas Rubio,Concertación de Partidos por la Democracia,DC,30 174,"39,85 %",1993,
15[d],Evelyn Matthei Fornet,Unión por el progreso de Chile,Ind-RN,19 572,"25,85 %",1993,
16[d],Zarko Luksic Sandoval,Concertación de Partidos por la Democracia,DC,38 186,"30,93 %",1993,
16[d],Patricio Melero Abaroa,Unión por el progreso de Chile,UDI,35 881,"29,06 %",1993,
17[d],Ramón Elizalde Hevia,Concertación de Partidos por la Democracia,DC,58 693,"33,80 %",1993,
17[d],María Antonieta Saa Díaz,Concertación de Partidos por la Democracia,PPD,62 190,"35,82 %",1993,
18[d],Ignacio Balbontín Arteaga,Concertación de Partidos por la Democracia,DC,38 719,"19,79 %",1993,
18[d],Guido Girardi Lavín,Concertación de Partidos por la Democracia,PPD,85 537,"42,69 %",1993,
19[d],Mario Hamuy Berr,Concertación de Partidos por la Democracia,DC,37 748,"28,59 %",1993,
19[d],Cristián Leay Morán,Unión por el progreso de Chile,UDI,32 757,"24,81 %",1993,
20[d],Carlos Dupré Silva,Concertación de Partidos por la Democracia,DC,69 617,"31,82 %",1993,
20[d],Ángel Fantuzzi Hernández,Unión por el progreso de Chile,RN,76 679,"35,05 %",1993,
21[d],Gutenberg Martínez Ocamina,Concertación de Partidos por la Democracia,DC,74 079,"38,70 %",1993,
21[d],Alberto Espina Otero,Unión por el progreso de Chile,RN,82 941,"43,33 %",1993,
22[d],Jorge Schaulsohn Brodsky,Concertación de Partidos por la Democracia,PPD,50 386,"37,51 %",1993,
22[d],Alberto Cardemil Herrera,Unión por el progreso de Chile,RN,35 740,"26,61 %",1993,
23[d],Carlos Bombal Otaegui,Unión por el progreso de Chile,UDI,65 449,"34,89 %",1993,
23[d],Andrés Allamand Zavala,Unión por el progreso de Chile,RN,58 471,"31,17 %",1993,
24[d],María Angélica Cristi Marfil,Unión por el progreso de Chile,RN,54 016,"39,19 %",1993,
24[d],Tomás Jocelyn-Holt Letelier,Concertación de Partidos por la Democracia,DC,43 100,"31,27 %",1993,
25[d],Andrés Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,63 431,"34,79 %",1993,
25[d],Jaime Orpis Bouchón,Unión por el progreso de Chile,UDI,49 538,"27,17 %",1993,
26[d],Mariana Aylwin Oyarzún,Concertación de Partidos por la Democracia,DC,48 309,"32,91 %",1993,
26[d],Carlos Montes Cisternas,Concertación de Partidos por la Democracia,PS,47 919,"32,64 %",1993,
27[d],Camilo Escalona Medina,Concertación de Partidos por la Democracia,PS,62 629,"33,39 %",1993,
27[d],Iván Moreira Barros,Unión por el progreso de Chile,UDI,52 639,"28,06 %",1993,
28[d],Rodolfo Seguel Molina,Concertación de Partidos por la Democracia,DC,46 811,"25,57 %",1993,
28[d],Darío Paya Mira,Unión por el progreso de Chile,UDI,41 029,"22,41 %",1993,
29[d],Maximiano Errázuriz Eguiguren,Unión por el progreso de Chile,RN,32 271,"19,69 %",1993,
29[d],Jaime Estévez Valencia,Concertación de Partidos por la Democracia,PS,52 706,"32,16 %",1993,
30[d],Andrés Aylwin Azócar,Concertación de Partidos por la Democracia,DC,68 442,"46,20 %",1993,
30[d],Pablo Longueira Montes,Unión por el progreso de Chile,UDI,47 282,"31,92 %",1993,
31[d],Vicente Sota Barros,Concertación de Partidos por la Democracia,PPD,48 858,"32,59 %",1993,
31[d],Juan Antonio Coloma Correa,Unión por el progreso de Chile,UDI,49 076,"32,73 %",1993,
32[d],Aníbal Pérez Lobos,Concertación de Partidos por la Democracia,PS,28 757,"30,64 %",1993,
32[d],Alejandro García-Huidobro,Unión por el progreso de Chile,UCC,24 398,"26,00 %",1993,
33[d],Juan Pablo Letelier Morel,Concertación de Partidos por la Democracia,PS,46 577,"41,89 %",1993,
33[d],Andrés Chadwick Piñera,Unión por el progreso de Chile,UDI,35 361,"31,80 %",1993,
34[d],Sergio Morales Morales,Concertación de Partidos por la Democracia,PR,24 565,"26,75 %",1993,
34[d],Juan Masferrer Pellizari,Unión por el progreso de Chile,UDI,20 126,"21,92 %",1993,
35[d],Juan Carlos Latorre Carmona,Concertación de Partidos por la Democracia,DC,33 338,"46,05 %",1993,
35[d],José María Hurtado Ruiz-Tagle,Unión por el progreso de Chile,RN,13 030,"18,00 %",1993,
36[d],Roberto León Ramírez,Concertación de Partidos por la Democracia,DC,43 484,"37,60 %",1993,
36[d],Sergio Correa de La Cerda,Unión por el progreso de Chile,UDI,35 455,"30,66 %",1993,
37[d],Sergio Aguiló Melo,Concertación de Partidos por la Democracia,PS,38 066,"44,36 %",1993,
37[d],Homero Gutiérrez Román,Concertación de Partidos por la Democracia,DC,17 067,"19,89 %",1993,
38[d],Romy Rebolledo Leyton,Concertación de Partidos por la Democracia,PPD,24 874,"35,07 %",1993,
38[d],Pedro Álvarez-Salamanca Büchi,Unión por el progreso de Chile,RN,15 034,"21,20 %",1993,
39[d],Jaime Naranjo Ortiz,Concertación de Partidos por la Democracia,PS,44 883,"53,40 %",1993,
39[d],Luis Ferrada Valenzuela,Unión por el progreso de Chile,RN,24 974,"29,72 %",1993,
40[d],Osvaldo Vega Vera,Unión por el progreso de Chile,UDI,21 396,"28,49 %",1993,
40[d],Guillermo Ceroni Fuentes,Concertación de Partidos por la Democracia,PPD,17 054,"22,71 %",1993,
41[d],Isidoro Tohá González,Concertación de Partidos por la Democracia,PS,41 206,"33,27 %",1993,
41[d],Rosauro Martínez Labbé,Unión por el progreso de Chile,Ind-RN,46 727,"37,73 %",1993,
42[d],Hosaín Sabag Castillo,Concertación de Partidos por la Democracia,DC,63 600,"56,35 %",1993,
42[d],Felipe Letelier Norambuena,Concertación de Partidos por la Democracia,PPD,21 155,"18,74 %",1993,
43[d],Jorge Ulloa Aguillón,Unión por el progreso de Chile,UDI,33 558,"27,96 %",1993,
43[d],Víctor Jeame Barrueto,Concertación de Partidos por la Democracia,PPD,30 361,"25,30 %",1993,
44[d],José Miguel Ortiz Novoa,Concertación de Partidos por la Democracia,DC,55 622,"33,29 %",1993,
44[d],José Antonio Viera Gallo Quesney,Concertación de Partidos por la Democracia,PS,51 829,"31,02 %",1993,
45[d],Edmundo Salas de la Fuente,Concertación de Partidos por la Democracia,DC,44 680,"40,95 %",1993,
45[d],Alejandro Navarro Brain,Concertación de Partidos por la Democracia,PS,27 328,"25,05 %",1993,
46[d],Martita Worner Tapia,Concertación de Partidos por la Democracia,PPD,39 059,"41,45 %",1993,
46[d],Jaime Rocha Manrique,Concertación de Partidos por la Democracia,PR,17 384,"18,45 %",1993,
47[d],Octavio Jara Wolff,Concertación de Partidos por la Democracia,PPD,54 079,"38,20 %",1993,
47[d],Víctor Pérez Varela,Unión por el progreso de Chile,UDI,32 446,"22,92 %",1993,
48[d],Edmundo Villouta Concha,Concertación de Partidos por la Democracia,DC,21 272,"29,78 %",1993,
48[d],Francisco Bayo Veloso,Unión por el progreso de Chile,RN,14 498,"20,30 %",1993,
49[d],Miguel Hernández Saffirio,Concertación de Partidos por la Democracia,DC,19 518,"29,74 %",1993,
49[d],José Antonio Galilea Vidaurre,Unión por el progreso de Chile,RN,18 773,"28,60 %",1993,
50[d],Francisco Huenchumilla,Concertación de Partidos por la Democracia,DC,55 798,"42,27 %",1993,
50[d],José García Ruminot,Unión por el progreso de Chile,RN,39 505,"33,47 %",1993,
51[d],Eugenio Tuma Zedán,Concertación de Partidos por la Democracia,PPD,20 818,"31,58 %",1993,
51[d],Teodoro Ribera Neumann,Unión por el progreso de Chile,RN,17 800,"27,00 %",1993,
52[d],Mario Acuña Cisternas,Concertación de Partidos por la Democracia,DC,23 013,"36,44 %",1993,
52[d],René Manuel García García,Unión por el progreso de Chile,RN,24 914,"39,45 %",1993,
53[d],Exequiel Silva Ortiz,Concertación de Partidos por la Democracia,DC,27 531,"32,91 %",1993,
53[d],Juan Enrique Taladriz García,Unión por el progreso de Chile,RN,30 060,"35,93 %",1993,
54[d],José Luis González Rodríguez,Concertación de Partidos por la Democracia,PPD,25 305,"31,10 %",1993,
54[d],Carlos Caminondo Sáez,Unión por el progreso de Chile,RN,24 249,"29,80 %",1993,
55[d],Sergio Ojeda Uribe,Concertación de Partidos por la Democracia,DC,27 737,"35,06 %",1993,
55[d],Marina Prochelle Aguilar,Unión por el progreso de Chile,RN,21 005,"26,55 %",1993,
56[d],Víctor Reyes Alvarado,Concertación de Partidos por la Democracia,DC,26 685,"37,99 %",1993,
56[d],Harry Jurgensen Caesar,Unión por el progreso de Chile,RN,18 938,"26,96 %",1993,
57[d],Sergio Elgueta Barrientos,Concertación de Partidos por la Democracia,DC,24 895,"30,85 %",1993,
57[d],Carlos Ignacio Kuschel Silva,Unión por el progreso de Chile,RN,20 287,"25,14 %",1993,
58[d],Gabriel Ascencio Mansilla,Concertación de Partidos por la Democracia,DC,22 172,"32,56 %",1993,
58[d],Claudio Alvarado Andrade,Unión por el progreso de Chile,Ind-UDI,15 505,"22,77 %",1993,
59[d],Héctor Zambrano Opazo,Concertación de Partidos por la Democracia,DC,10 230,"26,95 %",1993,
59[d],Valentín Solís Cabezas,Unión por el progreso de Chile,UCC,8 318,"21,91 %",1993,
60[d],Pedro Muñoz Aburto,Concertación de Partidos por la Democracia,PS,21 504,"29,79 %",1993,
60[d],Vicente Karelovic Vrandecic,Unión por el progreso de Chile,Ind-UDI,17 102,"23,69 %",1993,
1[d],Salvador Urrutia Cárdenas,Concertación de Partidos por la Democracia,PPD,14 358,"21,28 %",1997,
1[d],Rosa González Román,Fuera de Pacto,Ind,17 680,"26,2 %",1997,
2[d],Antonella Sciaraffia Estrada,Concertación de Partidos por la Democracia,DC,28 580,"36,97 %",1997,
2[d],Jorge Soria Macchiavello,Concertación de Partidos por la Democracia,PPD,21 184,"27,41 %",1997,
3[d],Fanny Pollarolo Villa,Concertación de Partidos por la Democracia,PS,26 254,"40,58 %",1997,
3[d],Waldo Mora Longa,Concertación de Partidos por la Democracia,DC,13 812,"21,35 %",1997,
4[d],Felipe Valenzuela Herrera,Concertación de Partidos por la Democracia,PS,31 556,"31,4 %",1997,
4[d],Manuel Rojas Molina,Unión por Chile,UDI,21 412,"21,3 %",1997,
5[d],Antonio Leal Labrín,Concertación de Partidos por la Democracia,PPD,13 242,"27,04 %",1997,
5[d],Carlos Vilches Guzmán,Unión por Chile,RN,10 502,"21,44 %",1997,
6[d],Baldo Prokurica Prokurica,Unión por Chile,RN,14 753,"37,89 %",1997,
6[d],Jaime Mulet Martínez,Concertación de Partidos por la Democracia,DC,12 012,"30,85 %",1997,
7[d],Joaquín Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,18 642,"25,5 %",1997,
7[d],Mario Bertolino Rendic,Unión por Chile,RN,15 921,"21,78 %",1997,
8[d],Patricio Walker Prieto,Concertación de Partidos por la Democracia,DC,30 246,35 %,1997,
8[d],Francisco Encina Moriamez,Concertación de Partidos por la Democracia,PS,22 301,"25,81 %",1997,
9[d],Adriana Muñoz D'Albora,Concertación de Partidos por la Democracia,PPD,14 757,"26,68 %",1997,
9[d],Darío Molina Sanhueza,Unión por Chile,UDI,8 662,"15,66 %",1997,
10[d],Ignacio Walker Prieto,Concertación de Partidos por la Democracia,DC,46 015,"39,81 %",1997,
10[d],Alfonso Vargas Lyng,Unión por Chile,RN,34 704,"30,03 %",1997,
11[d],Nelson Ávila Contreras,Concertación de Partidos por la Democracia,PPD,56 126,"58,47 %",1997,
11[d],Patricio Cornejo Vidaurrazaga,Concertación de Partidos por la Democracia,DC,8 268,"8,61 %",1997,
12[d],Juan Bustos Ramírez,Concertación de Partidos por la Democracia,PS,23 614,"27,6 %",1997,
12[d],Arturo Longton Guerrero,Unión por Chile,RN,27 489,"32,13 %",1997,
13[d],Aldo Cornejo González,Concertación de Partidos por la Democracia,DC,36 691,"33,43 %",1997,
13[d],Francisco Bartolucci Johnston,Unión por Chile,UDI,34 797,"31,71 %",1997,
14[d],Laura Soto González,Concertación de Partidos por la Democracia,PPD,39 432,"31,29 %",1997,
14[d],Gonzalo Ibáñez Santa María,Unión por Chile,Ind-UDI,35 363,"28,06 %",1997,
15[d],Samuel Venegas Rubio,Fuera de Pacto,Ind,22 342,"33,03 %",1997,
15[d],Sergio Velasco de La Cerda,Concertación de Partidos por la Democracia,DC,14 566,"21,54 %",1997,
16[d],Zarko Luksic Sandoval,Concertación de Partidos por la Democracia,DC,34 030,"30,74 %",1997,
16[d],Patricio Melero Abaroa,Unión por Chile,UDI,33 483,"30,24 %",1997,
17[d],Manuel Bustos Huerta[nota 3],Concertación de Partidos por la Democracia,DC,33 025,"22,45 %",1997,
17[d],María Antonieta Saa Díaz,Concertación de Partidos por la Democracia,PPD,49 432,"33,6 %",1997,
18[d],Guido Girardi Lavín,Concertación de Partidos por la Democracia,PPD,115 791,"65,92 %",1997,
18[d],Carlos Olivares Zepeda,Concertación de Partidos por la Democracia,DC,11 080,"6,31 %",1997,
19[d],Patricio Hales Dib,Concertación de Partidos por la Democracia,PPD,34 625,"31,87 %",1997,
19[d],Cristián Leay Morán,Unión por Chile,UDI,32 401,"29,82 %",1997,
20[d],Luis Pareto González,Concertación de Partidos por la Democracia,DC,64 619,"34,2 %",1997,
20[d],Gustavo Alessandri Valdés,Unión por Chile,RN,55 117,"29,17 %",1997,
21[d],Alberto Espina Otero,Unión por Chile,RN,68 627,"41,19 %",1997,
21[d],Gutenberg Martínez Ocamina,Concertación de Partidos por la Democracia,DC,39 077,"23,45 %",1997,
22[d],Alberto Cardemil Herrera,Unión por Chile,RN,33 917,"31,06 %",1997,
22[d],Enrique Krauss Rusque,Concertación de Partidos por la Democracia,DC,31 530,"28,87 %",1997,
23[d],Julio Dittborn Cordua,Unión por Chile,UDI,58 446,"34,05 %",1997,
23[d],Pía Guzmán Mena,Unión por Chile,RN,50 516,"29,43 %",1997,
24[d],María Angélica Cristi Marfil,Unión por Chile,RN,61 810,"50,79 %",1997,
24[d],Tomás Jocelyn-Holt Letelier,Concertación de Partidos por la Democracia,DC,26 126,"21,47 %",1997,
25[d],Andrés Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,50 462,"33,18 %",1997,
25[d],Jaime Orpis Bouchón,Unión por Chile,UDI,44 878,"29,5 %",1997,
26[d],Carlos Montes Cisternas,Concertación de Partidos por la Democracia,PS,54 536,"40,74 %",1997,
26[d],Lily Pérez San Martín,Unión por Chile,RN,41 228,"30,8 %",1997,
27[d],Eliana Caraball Martínez,Concertación de Partidos por la Democracia,DC,39 736,"25,58 %",1997,
27[d],Iván Moreira Barros,Unión por Chile,UDI,58 049,"37,38 %",1997,
28[d],Rodolfo Seguel Molina,Concertación de Partidos por la Democracia,DC,38 114,"25,43 %",1997,
28[d],Darío Paya Mira,Unión por Chile,UDI,34 325,"22,9 %",1997,
29[d],Maximiano Errázuriz Eguiguren,Unión por Chile,RN,54 260,"35,94 %",1997,
29[d],Isabel Allende Bussi,Concertación de Partidos por la Democracia,PS,53 694,"35,57 %",1997,
30[d],Pablo Longueira Montes,Unión por Chile,UDI,51 360,"40,45 %",1997,
30[d],Edgardo Riveros Marín,Concertación de Partidos por la Democracia,DC,36 483,"28,73 %",1997,
31[d],Juan Antonio Coloma Correa,Unión por Chile,UDI,62 772,"47,53 %",1997,
31[d],Jaime Jiménez Villavicencio,Concertación de Partidos por la Democracia,DC,34 944,"26,46 %",1997,
32[d],Aníbal Pérez Lobos,Concertación de Partidos por la Democracia,PPD,30 927,"37,88 %",1997,
32[d],Alejandro García-Huidobro,Chile 2000,UCCP,18 890,"23,14 %",1997,
33[d],Juan Pablo Letelier Morel,Concertación de Partidos por la Democracia,PS,58 710,"57,58 %",1997,
33[d],Ricardo Rincón González,Concertación de Partidos por la Democracia,DC,8 911,"8,74 %",1997,
34[d],Juan Nuñez Valenzuela,Concertación de Partidos por la Democracia,DC,18 071,"22,39 %",1997,
34[d],Juan Masferrer Pellizari,Unión por Chile,UDI,15 251,"18,9 %",1997,
35[d],Rafael Arratia Valdebenito,Concertación de Partidos por la Democracia,DC,19 347,"28,61 %",1997,
35[d],María Victoria Ovalle Ovalle,Chile 2000,UCCP,16 170,"23,91 %",1997,
36[d],Roberto León Ramírez,Concertación de Partidos por la Democracia,DC,29 925,"29,84 %",1997,
36[d],Sergio Correa de La Cerda,Unión por Chile,UDI,20 110,"20,05 %",1997,
37[d],Sergio Aguiló Melo,Concertación de Partidos por la Democracia,PS,37 649,"52,03 %",1997,
37[d],Homero Gutiérrez Román,Concertación de Partidos por la Democracia,DC,10 616,"14,67 %",1997,
38[d],Pedro Álvarez-Salamanca Büchi,Unión por Chile,RN,21 015,"32,42 %",1997,
38[d],Pablo Lorenzini Basso,Concertación de Partidos por la Democracia,DC,16 276,"25,11 %",1997,
39[d],Jaime Naranjo Ortiz,Concertación de Partidos por la Democracia,PS,38 164,"50,21 %",1997,
39[d],Osvaldo Palma Flores,Unión por Chile,RN,14 463,"19,03 %",1997,
40[d],Guillermo Ceroni Fuentes,Concertación de Partidos por la Democracia,PPD,22 946,"35,07 %",1997,
40[d],Osvaldo Vega Vera,Unión por Chile,RN,20 013,"30,59 %",1997,
41[d],Rosauro Martínez Labbé,Unión por Chile,Ind-RN,49 722,"46,18 %",1997,
41[d],Carlos Abel Jarpa Wevar,Concertación de Partidos por la Democracia,PRSD,33 558,"31,17 %",1997,
