Distrito;Candidato;Partido;Pacto;Votos;%;Resultado;Año
26;52. María Gladis Oyarzo Zúñiga;IND-PRO;B. Por Todo Chile;756;0,55%;;2017
26;53. Paula Millacura Torres;PRO;B. Por Todo Chile;2243;1,63%;;2017
26;54. Oscar Patricio Macias Macias;IND-PRO;B. Por Todo Chile;595;0,43%;;2017
26;55. Francisco Bucat Oviedo;PRO;B. Por Todo Chile;438;0,32%;;2017
26;56. Alejandro Javier Bernales Maldonado;PL;G. Frente Amplio;6200;4,50%;Diputado;2017
26;57. Ivonne Lecaros Sandoval;IND-PL;G. Frente Amplio;1677;1,22%;;2017
26;58. Ricardo Cáceres Olave;Poder;G. Frente Amplio;1214;0,88%;;2017
26;59. Susan Angélica Ponce Jara;Poder;G. Frente Amplio;902;0,65%;;2017
26;60. Sandra Paola Vega Oyarzo;PEV;G. Frente Amplio;3173;2,30%;;2017
26;61. Eduardo Antonio Ocampo Castillo;IND-PEV;G. Frente Amplio;4432;3,22%;;2017
26;62. Alexis Marcelo Barria Maldonado;CIU;H. Sumemos;3160;2,29%;;2017
26;63. Carolina Alejandra Pino Collado;CIU;H. Sumemos;628;0,46%;;2017
26;64. María Oriana Pérez Báez;CIU;H. Sumemos;321;0,23%;;2017
26;65. Luis Felipe Vergara Maldonado;CIU;H. Sumemos;403;0,29%;;2017
26;66. Nelson Guzmán Cáceres;Todos;H. Sumemos;319;0,20%;;2017
26;67. Marva Vargas Alvarado;IND-Todos;H. Sumemos;389;0,24%;;2017
26;68. José Roberto Aburto Barria;DRP;K. Coalición Regionalista Verde;5035;3,66%;;2017
26;69. Zandra Esther Parisi Fernández;DRP;K. Coalición Regionalista Verde;1169;0,85%;;2017
26;70. María Patricia Pascuales Gutiérrez;DRP;K. Coalición Regionalista Verde;606;0,44%;;2017
26;71. Héctor Leonardo Aguilera Mayorga;DRP;K. Coalición Regionalista Verde;848;0,62%;;2017
26;72. Erika Andrea Guaiquin Guaiquin;IND-DRP;K. Coalición Regionalista Verde;535;0,39%;;2017
26;73. Ana María Calisto Ramírez;IND-DRP;K. Coalición Regionalista Verde;424;0,31%;;2017
26;74. Claudio Oyarzún Cárcamo;PPD;N. La Fuerza de la Mayoría;5048;3,66%;;2017
26;75. Gloria Patricia González Sáez;PPD;N. La Fuerza de la Mayoría;2730;1,98%;;2017
26;76. Jenny Álvarez Vera;PS;N. La Fuerza de la Mayoría;10162;7,38%;Diputada;2017
26;77. Ramón Espinoza Sandoval;PS;N. La Fuerza de la Mayoría;8115;5,89%;;2017
26;78. Carlos Eduardo Contreras Oyarzún;PRSD;N. La Fuerza de la Mayoría;3010;2,19%;;2017
26;79. Claudio Martínez Labra;PDC;O. Convergencia Democrática;7888;5,73%;;2017
26;80. Gabriel Héctor Ascencio Mansilla;PDC;O. Convergencia Democrática;9326;6,77%;Diputado;2017
26;81. Alejandro Santana Tirachini;RN;P. Chile Vamos;23558;17,10%;Diputado;2017
26;82. Carlos Ignacio Kuschel Silva;RN;P. Chile Vamos;11250;8,17%;Diputado;2017
26;83. José Segura Díaz;RN;P. Chile Vamos;4957;3,60%;;2017
26;84. Marisol Turres Figueroa;UDI;P. Chile Vamos;7271;5,28%;;2017
26;85. Francisco Muñoz Le-Bretón;UDI;P. Chile Vamos;3194;2,32%;;2017
26;86. Orieta González Maturana;UDI;P. Chile Vamos;461;0,33%;;2017
27;69. Cecilio Aguilar Galindo;IND;Candidatura independiente;1867;5,33%;;2017
27;50. Eduardo Romo Lafoy;IND-Todos;H. Sumemos;228;0,65%;;2017
27;51. Sara Martínez Mondelo;IND-Todos;H. Sumemos;307;0,88%;;2017
27;52. Víctor Manuel Borquéz Fincke;CIU;H. Sumemos;209;0,60%;;2017
27;53. Marisol Lusdemia Pinilla Vejar;CIU;H. Sumemos;297;0,85%;;2017
27;54. Elson Borquéz Yáñez;DRP;K. Coalición Regionalista Verde;245;0,70%;;2017
27;55. Pedro Antonio Vergara Rojas;DRP;K. Coalición Regionalista Verde;150;0,43%;;2017
27;56. Jessica Andrea Torres Borquéz;IND-DRP;K. Coalición Regionalista Verde;256;0,73%;;2017
27;57. Tamara Andrea Espinoza Gutiérrez;DRP;K. Coalición Regionalista Verde;120;0,34%;;2017
27;58. Jorge Calderón Nuñez;PRSD;N. La Fuerza de la Mayoría;3098;8,84%;;2017
27;59. Marisol Martínez Sánchez;PS;N. La Fuerza de la Mayoría;3106;8,86%;;2017
27;60. Roxana Pey Tumanoff;IND-PCCh;N. La Fuerza de la Mayoría;1432;4,09%;;2017
27;61. René Osvaldo Alinco Bustos;IND-PPD;N. La Fuerza de la Mayoría;3121;8,91%;Diputado;2017
27;62. Miguel Ángel Calisto Águila;PDC;O. Convergencia Democrática;8822;25,17%;Diputado;2017
27;63. Carmen Gloria Martínez Cárdenas;PDC;O. Convergencia Democrática;1230;3,51%;;2017
27;64. René Anselmo Legue Cárdenas;PDC;O. Convergencia Democrática;637;1,82%;;2017
27;65. Néstor Mera Muñoz;UDI;P. Chile Vamos;3757;10,72%;;2017
27;66. Patricio Henríquez Barrientos;PRI;P. Chile Vamos;767;2,19%;;2017
27;67. Geoconda Navarrete Arratia;Evópoli;P. Chile Vamos;1471;4,20%;;2017
27;68. Aracely Leuquén Uribe;RN;P. Chile Vamos;3925;11,20%;Diputada;2017
28;67. Sandra Amar Mancilla;UDI;P. Chile Vamos;6871;12,11%;Diputada;2017
28;66. Nicolás Cogler Galindo;RN;P. Chile Vamos;4810;8,47%;;2017
28;65. Helga Neumann Calisto;EVOP;P. Chile Vamos;279;0,49%;;2017
28;64. Juan José Arcos Srdanovic;PRI;P. Chile Vamos;4220;7,43%;;2017
28;63. Eugenia Mancilla Macías;PDC;O. Convergencia Democrática;3262;5,75%;;2017
28;62. Carlos Mandriaza Muñoz;PDC;O. Convergencia Democrática;329;0,58%;;2017
28;61. Juan Enrique Morano Cornejo;PDC;O. Convergencia Democrática;3718;6,55%;;2017
28;60. Karim Antonio Bianchi Retamales;PRSD;N. La Fuerza de la Mayoría;4190;7,38%;Diputado;2017
28;59. Francisco Enrique Alarcón Navarro;PCCh;N. La Fuerza de la Mayoría;1315;2,32%;;2017
28;58. Domingo Antonio Rubilar Ruiz;PPD;N. La Fuerza de la Mayoría;2479;4,37%;;2017
28;57. Vladimiro Mimica Cárcamo;PS;N. La Fuerza de la Mayoría;3807;6,71%;;2017
28;56. Jorge Emilio Paredes Leiva;DRP;K. Coalición Regionalista Verde;314;0,55%;;2017
28;55. Marla Gladys Vargas Ojeda;DRP;K. Coalición Regionalista Verde;310;0,55%;;2017
28;54. Mario Enrique Esquivel Lizondo;DRP;K. Coalición Regionalista Verde;929;1,64%;;2017
28;53. Denisse Guerra Martínez;PH;G. Frente Amplio;205;0,36%;;2017
28;52. Juan Manuel Mancilla Cárdenas;PH;G. Frente Amplio;554;0,98%;;2017
28;51. Carolina Saldivia Salazar;PH;G. Frente Amplio;541;0,95%;;2017
28;50. Gabriel Boric Font;PH;G. Frente Amplio;18626;32,82%;Diputado;2017
1;60. NINO BALTOLU RASERA;UDI;AA. Chile Podemos +;2991;3,72%;;2021
1;61. DIEGO BULNES VALDÉS;IND-EVOP;AA. Chile Podemos +;1809;2,25%;;2021
1;62. DIEGO PACO MAMANI;RN;AA. Chile Podemos +;6739;8,39%;;2021
1;63. ENRIQUE LEE FLORES;IND-PRI;AA. Chile Podemos +;7309;9,10%;Diputado;2021
1;64. RAYKO ALEJANDRO KARMELIC PAVLOV;PDG;AB. Partido de la Gente;3825;4,76%;;2021
1;65. CAMILA FERNANDA AGUILAR TORRES;PDG;AB. Partido de la Gente;3238;4,03%;;2021
1;66. GONZALO DANIEL CAMPUSANO YAÑEZ;PDG;AB. Partido de la Gente;2021;2,52%;;2021
1;67. BENEDICTA ISABEL RODRIGUEZ RUBIO;PDG;AB. Partido de la Gente;693;0,86%;;2021
1;68. CAMILO MARTIN JOFRE CAÑIPA;PTR;AE. Partido de Trabajadores Revolucionarios;703;0,88%;;2021
1;69. VALENTINA PAZ ALBARRACIN GONZALEZ;PTR;AE. Partido de Trabajadores Revolucionarios;692;0,86%;;2021
1;70. VLADO MIROSEVIC VERDUGO;PL;AH. Nuevo Pacto Social;16783;20,90%;Diputado;2021
1;71. LUIS FABIAN MALLA VALENZUELA;PL;AH. Nuevo Pacto Social;2696;3,36%;Diputado;2021
1;72. LUIS ROCAFULL LOPEZ;PS;AH. Nuevo Pacto Social;3921;4,88%;;2021
1;73. GLADYS ACUÑA ROSALES;PS;AH. Nuevo Pacto Social;5174;6,44%;;2021
1;74. JUAN JACOBO TANCARA CHAMBE;IND-PH;AN. Dignidad Ahora;929;1,16%;;2021
1;75. DELIA NORMA CONDORI FLORES;IND-PH;AN. Dignidad Ahora;914;1,14%;;2021
1;76. MARCELO ANDRES ZARA PIZARRO;PREP;AP. Frente Social Cristiano;6325;7,88%;;2021
1;77. KARLA KEPEC ALVAREZ;PREP;AP. Frente Social Cristiano;3838;4,78%;;2021
1;78. FIDEL OSCAR ARENAS PIZARRO;IND-PREP;AP. Frente Social Cristiano;1908;2,38%;;2021
1;79. RICARDO SANZANA OTEIZA;FREVS;AR. Apruebo Dignidad;3314;4,13%;;2021
1;80. SILVIA JOCELYN MUÑOZ DONOSO;IND-COM;AR. Apruebo Dignidad;847;1,05%;;2021
1;81. PALOMA CAMILA MARGOTT TAPIA BARRIOS;PCCH;AR. Apruebo Dignidad;3090;3,85%;;2021
