Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
33,Juan Pablo Letelier Morel,Unidad para la Democracia ,Partido Amplio de Izquierda Socialista,28451,"27,61%",1989
33,Andrés Chadwick Piñera,Alianza,Unión Demócrata Independiente,27837,"27,01%",1989
34,Hugo Rodríguez Guerrero,Concertación,Democracia Cristiana ,19798,"22,45%",1989
34,Juan Masferrer Pellizari,Alianza,Unión Demócrata Independiente,17987,"20,39%",1989
35,Juan Carlos Latorre Carmona,Concertación,Democracia Cristiana ,21664,"31,03%",1989
35,José María Hurtado Ruiz-Tagle,Alianza,Renovación Nacional,11953,"17,12%",1989
36,Gustavo Ramírez Vergara,Concertación,Democracia Cristiana ,44825,"39,10%",1989
36,Sergio Correa de La Cerda,Alianza,Unión Demócrata Independiente,26457,"23,08%",1989
37,Eugenio Ortega Riquelme,Concertación,Democracia Cristiana ,39157,"44,66%",1989
37,Sergio Aguiló Melo,Concertación,Izquierda Cristiana,19405,"22,13%",1989
38,Jaime Campos Quiroga,Concertación,Partido Radical,34538,"50,43%",1989
38,Pedro Álvarez-Salamanca Büchi,Alianza,Renovación Nacional,12628,"18,44%",1989
39,Jaime Naranjo Ortiz,Concertación,Izquierda Cristiana,31420,"37,41%",1989
39,Luis Navarrete Carvacho,Alianza,Unión Demócrata Independiente,15452,"18,40%",1989
40,Manuel Matta Aragay,Concertación,Democracia Cristiana ,25029,"33,25%",1989
40,Alfonso Rodríguez Del Río,Alianza,Renovación Nacional,14578,"19,37%",1989
41,Isidoro Tohá González,Concertación,Partido por la Democracia ,40477,"32,65%",1989
41,Pedro Guzmán Álvarez,Alianza,Unión Demócrata Independiente,25709,"20,74%",1989
42,Hosaín Sabag Castillo,Independiente ,Independiente,43194,"39,06%",1989
42,Hugo Álamos Vásquez,Alianza,Renovación Nacional,29491,"26,67%",1989
43,Víctor Jeame Barrueto,Concertación,Partido por la Democracia ,41356,"34,27%",1989
43,Jorge Ulloa Aguillón,Alianza,Unión Demócrata Independiente,17401,"14,42%",1989
44,José Miguel Ortiz Novoa,Concertación,Democracia Cristiana ,56709,"32,80%",1989
44,José Antonio Viera Gallo Quesney,Concertación,Partido por la Democracia ,51969,"30,06%",1989
45,Edmundo Salas de la Fuente,Concertación,Democracia Cristiana ,33965,"31,49%",1989
45,Juan Martínez Sepúlveda,Unidad para la Democracia ,Partido Amplio de Izquierda Socialista,24799,"22,99%",1989
46,Claudio Huepe García,Concertación,Democracia Cristiana ,34647,"35,93%",1989
46,Jaime Rocha Manrique,Concertación,Partido Radical,16493,"17,10%",1989
47,Víctor Pérez Varela,Alianza,Unión Demócrata Independiente,36941,"26,95%",1989
47,Octavio Jara Wolff,Concertación,Partido por la Democracia ,34746,"25,35%",1989
48,Edmundo Villouta Concha,Concertación,Democracia Cristiana ,22711,"32,16%",1989
48,Francisco Bayo Veloso,Alianza,Renovación Nacional,15644,"22,15%",1989
49,Roberto Muñoz Barra,Concertación,Democracia Cristiana,24958,"37,82%",1989
49,José Antonio Galilea Vidaurre,Alianza,Renovación Nacional,14024,"21,25%",1989
50,Francisco Huenchumilla Jaramillo,Concertación,Democracia Cristiana ,46279,"38,67%",1989
50,José García Ruminot,Alianza,Renovación Nacional,35240,"29,44%",1989
51,José Peña Meza,Concertación,Partido Radical,15875,"25,06%",1989
51,Teodoro Ribera Neumann,Alianza,Renovación Nacional,13273,"20,96%",1989
52,Mario Acuña Cisternas,Concertación,Democracia Cristiana ,18623,"29,75%",1989
52,René Manuel García García,Alianza,Renovación Nacional,18305,"29,24%",1989
53,Juan Concha Urbina,Concertación,Democracia Cristiana ,32085,"37,41%",1989
53,Juan Enrique Taladriz García,Alianza,Renovación Nacional,22947,"26,76%",1989
54,Carlos Caminondo Sáez,Alianza,Renovación Nacional,23894,"29,82%",1989
54,Mario Devaud Ojeda,Concertación,Partido Radical,20042,"25,01%",1989
55,Sergio Ojeda Uribe,Concertación,Democracia Cristiana ,30536,"38,95%",1989
55,Marina Prochelle Aguilar,Alianza,Renovación Nacional,21134,"26,96%",1989
56,Víctor Reyes Alvarado,Concertación,Democracia Cristiana ,19077,"28,49%",1989
56,Carlos Recondo Lavanderos,Alianza,Unión Demócrata Independiente,12565,"18,76%",1989
57,Sergio Elgueta Barrientos,Concertación,Democracia Cristiana ,22651,"28,63%",1989
57,Carlos Kuschel Silva,Alianza,Renovación Nacional,21211,"26,81%",1989
58,Dionisio Faulbaum Mayorga,Concertación,Partido Radical,18252,"27,39%",1989
58,Juan Alberto Pérez Muñoz,Alianza,Renovación Nacional,16216,"24,34%",1989
59,Antonio Horvath Kiss,Alianza,Renovación Nacional,13778,"37,74%",1989
59,Baldemar Carrasco Muñoz,Concertación,Democracia Cristiana ,9264,"25,38%",1989
60,Milenko Vilicic Karnincic,Concertación,Partido Alianza de Centro,27546,"34,85%",1989
60,Carlos Smok Ubeda,Concertación,Partido por la Democracia ,23857,"30,18%",1989
1,Salvador Urrutia Cárdenas,Concertación,Partido por la Democracia ,35928,"43,04%",1993
1,Carlos Valcarce Medina,Alianza,Renovación Nacional,24386,"29,21%",1993
2,Jorge Soria Macchiavello,Concertación,Partido por la Democracia ,23941,"30,37%",1993
2,Ramón Pérez Opazo,Alianza,Renovación Nacional,28909,"36,67%",1993
3,Fanny Pollarolo Villa,Concertación,Partido Democrático de Izquierda,34426,"42,82%",1993
3,Carlos Cantero Ojeda,Alianza,Renovación Nacional,17931,"22,30%",1993
4,Felipe Valenzuela Herrera,Concertación,Partido Socialista,31799,"27,45%",1993
4,Rubén Gajardo Chacón,Concertación,Democracia Cristiana ,43761,"37,78%",1993
5,Erick Villegas González,Concertación,Democracia Cristiana ,19090,"28,94%",1993
5,Carlos Vilches Guzmán,Alianza,Renovación Nacional,13320,"20,19%",1993
6,Armando Arancibia Calderón,Concertación,Partido Socialista,11345,"25,95%",1993
6,Baldo Prokurica Prokurica,Alianza,Renovación Nacional,12125,"27,74%",1993
7,Joaquín Palma Irarrázaval,Concertación,Democracia Cristiana ,24562,"29,47%",1993
7,Eugenio Munizaga Rodríguez,Alianza,Renovación Nacional,23007,"27,61%",1993
8,Jorge Pizarro Soto,Concertación,Democracia Cristiana ,51258,"52,33%",1993
8,Francisco Encina Moriamez,Concertación,Partido Socialista,13360,"13,64%",1993
9,Renán Fuentealba Vildósola,Concertación,Democracia Cristiana ,15512,"24,63%",1993
9,Isabel Allende Bussi,Concertación,Partido Socialista,21752,"34,54%",1993
10,Ignacio Walker Prieto,Concertación,Democracia Cristiana ,46214,"34,25%",1993
10,Alfonso Vargas Lyng,Alianza,Renovación Nacional,32840,"24,34%",1993
11,Nelson Ávila Contreras,Concertación,Partido por la Democracia ,34554,"33,08%",1993
11,Claudio Rodríguez Cataldo,Alianza,Renovación Nacional,29213,"27,96%",1993
12,Iván de La Maza Maillet,Concertación,Democracia Cristiana ,42891,"37,78%",1993
12,Arturo Longton Guerrero,Alianza,Renovación Nacional,38630,"34,03%",1993
13,Aldo Cornejo González,Concertación,Democracia Cristiana ,64232,"41,67%",1993
13,Francisco Bartolucci Johnston,Alianza,Unión Demócrata Independiente,45010,"29,20%",1993
14,José Makluf Campos,Concertación,Democracia Cristiana ,44996,"28,10%",1993
14,Raúl Urrutia Ávila,Alianza,Renovación Nacional,47729,"29,81%",1993
15,Samuel Venegas Rubio,Concertación,Democracia Cristiana ,30174,"39,85%",1993
15,Evelyn Matthei Fornet,Alianza,Renovación Nacional,19572,"25,85%",1993
16,Zarko Luksic Sandoval,Concertación,Democracia Cristiana ,38186,"30,93%",1993
16,Patricio Melero Abaroa,Alianza,Unión Demócrata Independiente,35881,"29,06%",1993
17,Ramón Elizalde Hevia,Concertación,Democracia Cristiana ,58693,"33,80%",1993
17,María Antonieta Saa Díaz,Concertación,Partido por la Democracia ,62190,"35,82%",1993
18,Ignacio Balbontín Arteaga,Concertación,Democracia Cristiana ,38719,"19,79%",1993
18,Guido Girardi Lavín,Concertación,Partido por la Democracia ,85537,"42,69%",1993
19,Mario Hamuy Berr,Concertación,Democracia Cristiana ,37748,"28,59%",1993
19,Cristián Leay Morán,Alianza,Unión Demócrata Independiente,32757,"24,81%",1993
20,Carlos Dupré Silva,Concertación,Democracia Cristiana ,69617,"31,82%",1993
20,Ángel Fantuzzi Hernández,Alianza,Renovación Nacional,76679,"35,05%",1993
21,Gutenberg Martínez Ocamina,Concertación,Democracia Cristiana ,74079,"38,70%",1993
21,Alberto Espina Otero,Alianza,Renovación Nacional,82941,"43,33%",1993
22,Jorge Schaulsohn Brodsky,Concertación,Partido por la Democracia ,50386,"37,51%",1993
22,Alberto Cardemil Herrera,Alianza,Renovación Nacional,35740,"26,61%",1993
23,Carlos Bombal Otaegui,Alianza,Unión Demócrata Independiente,65449,"34,89%",1993
23,Andrés Allamand Zavala,Alianza,Renovación Nacional,58471,"31,17%",1993
24,María Angélica Cristi Marfil,Alianza,Renovación Nacional,54016,"39,19%",1993
24,Tomás Jocelyn-Holt Letelier,Concertación,Democracia Cristiana ,43100,"31,27%",1993
25,Andrés Palma Irarrázaval,Concertación,Democracia Cristiana ,63431,"34,79%",1993
25,Jaime Orpis Bouchón,Alianza,Unión Demócrata Independiente,49538,"27,17%",1993
26,Mariana Aylwin Oyarzún,Concertación,Democracia Cristiana ,48309,"32,91%",1993
26,Carlos Montes Cisternas,Concertación,Partido Socialista,47919,"32,64%",1993
27,Camilo Escalona Medina,Concertación,Partido Socialista,62629,"33,39%",1993
27,Iván Moreira Barros,Alianza,Unión Demócrata Independiente,52639,"28,06%",1993
28,Rodolfo Seguel Molina,Concertación,Democracia Cristiana ,46811,"25,57%",1993
28,Darío Paya Mira,Alianza,Unión Demócrata Independiente,41029,"22,41%",1993
29,Maximiano Errázuriz Eguiguren,Alianza,Renovación Nacional,32271,"19,69%",1993
29,Jaime Estévez Valencia,Concertación,Partido Socialista,52706,"32,16%",1993
30,Andrés Aylwin Azócar,Concertación,Democracia Cristiana ,68442,"46,20%",1993
30,Pablo Longueira Montes,Alianza,Unión Demócrata Independiente,47282,"31,92%",1993
31,Vicente Sota Barros,Concertación,Partido por la Democracia ,48858,"32,59%",1993
31,Juan Antonio Coloma Correa,Alianza,Unión Demócrata Independiente,49076,"32,73%",1993
32,Aníbal Pérez Lobos,Concertación,Partido Socialista,28757,"30,64%",1993
32,Alejandro García-Huidobro,Alianza,Unión Centro Centro,24398,"26,00%",1993
33,Juan Pablo Letelier Morel,Concertación,Partido Socialista,46577,"41,89%",1993
33,Andrés Chadwick Piñera,Alianza,Unión Demócrata Independiente,35361,"31,80%",1993
34,Sergio Morales Morales,Concertación,Partido Radical,24565,"26,75%",1993
34,Juan Masferrer Pellizari,Alianza,Unión Demócrata Independiente,20126,"21,92%",1993
35,Juan Carlos Latorre Carmona,Concertación,Democracia Cristiana ,33338,"46,05%",1993
35,José María Hurtado Ruiz-Tagle,Alianza,Renovación Nacional,13030,"18,00%",1993
36,Roberto León Ramírez,Concertación,Democracia Cristiana ,43484,"37,60%",1993
36,Sergio Correa de La Cerda,Alianza,Unión Demócrata Independiente,35455,"30,66%",1993
37,Sergio Aguiló Melo,Concertación,Partido Socialista,38066,"44,36%",1993
37,Homero Gutiérrez Román,Concertación,Democracia Cristiana ,17067,"19,89%",1993
38,Romy Rebolledo Leyton,Concertación,Partido por la Democracia ,24874,"35,07%",1993
38,Pedro Álvarez-Salamanca Büchi,Alianza,Renovación Nacional,15034,"21,20%",1993
39,Jaime Naranjo Ortiz,Concertación,Partido Socialista,44883,"53,40%",1993
39,Luis Ferrada Valenzuela,Alianza,Renovación Nacional,24974,"29,72%",1993
40,Osvaldo Vega Vera,Alianza,Unión Demócrata Independiente,21396,"28,49%",1993
40,Guillermo Ceroni Fuentes,Concertación,Partido por la Democracia ,17054,"22,71%",1993
41,Isidoro Tohá González,Concertación,Partido Socialista,41206,"33,27%",1993
41,Rosauro Martínez Labbé,Alianza,Renovación Nacional,46727,"37,73%",1993
42,Hosaín Sabag Castillo,Concertación,Democracia Cristiana ,63600,"56,35%",1993
42,Felipe Letelier Norambuena,Concertación,Partido por la Democracia ,21155,"18,74%",1993
43,Jorge Ulloa Aguillón,Alianza,Unión Demócrata Independiente,33558,"27,96%",1993
43,Víctor Jeame Barrueto,Concertación,Partido por la Democracia ,30361,"25,30%",1993
44,José Miguel Ortiz Novoa,Concertación,Democracia Cristiana ,55622,"33,29%",1993
44,José Antonio Viera Gallo Quesney,Concertación,Partido Socialista,51829,"31,02%",1993
45,Edmundo Salas de la Fuente,Concertación,Democracia Cristiana ,44680,"40,95%",1993
45,Alejandro Navarro Brain,Concertación,Partido Socialista,27328,"25,05%",1993
46,Martita Worner Tapia,Concertación,Partido por la Democracia ,39059,"41,45%",1993
46,Jaime Rocha Manrique,Concertación,Partido Radical,17384,"18,45%",1993
47,Octavio Jara Wolff,Concertación,Partido por la Democracia ,54079,"38,20%",1993
47,Víctor Pérez Varela,Alianza,Unión Demócrata Independiente,32446,"22,92%",1993
48,Edmundo Villouta Concha,Concertación,Democracia Cristiana ,21272,"29,78%",1993
48,Francisco Bayo Veloso,Alianza,Renovación Nacional,14498,"20,30%",1993
49,Miguel Hernández Saffirio,Concertación,Democracia Cristiana ,19518,"29,74%",1993
49,José Antonio Galilea Vidaurre,Alianza,Renovación Nacional,18773,"28,60%",1993
50,Francisco Huenchumilla,Concertación,Democracia Cristiana ,55798,"42,27%",1993
50,José García Ruminot,Alianza,Renovación Nacional,39505,"33,47%",1993
51,Eugenio Tuma Zedán,Concertación,Partido por la Democracia ,20818,"31,58%",1993
51,Teodoro Ribera Neumann,Alianza,Renovación Nacional,17800,"27,00%",1993
52,Mario Acuña Cisternas,Concertación,Democracia Cristiana ,23013,"36,44%",1993
52,René Manuel García García,Alianza,Renovación Nacional,24914,"39,45%",1993
53,Exequiel Silva Ortiz,Concertación,Democracia Cristiana ,27531,"32,91%",1993
53,Juan Enrique Taladriz García,Alianza,Renovación Nacional,30060,"35,93%",1993
54,José Luis González Rodríguez,Concertación,Partido por la Democracia ,25305,"31,10%",1993
54,Carlos Caminondo Sáez,Alianza,Renovación Nacional,24249,"29,80%",1993
55,Sergio Ojeda Uribe,Concertación,Democracia Cristiana ,27737,"35,06%",1993
55,Marina Prochelle Aguilar,Alianza,Renovación Nacional,21005,"26,55%",1993
56,Víctor Reyes Alvarado,Concertación,Democracia Cristiana ,26685,"37,99%",1993
56,Harry Jurgensen Caesar,Alianza,Renovación Nacional,18938,"26,96%",1993
57,Sergio Elgueta Barrientos,Concertación,Democracia Cristiana ,24895,"30,85%",1993
57,Carlos Ignacio Kuschel Silva,Alianza,Renovación Nacional,20287,"25,14%",1993
58,Gabriel Ascencio Mansilla,Concertación,Democracia Cristiana ,22172,"32,56%",1993
58,Claudio Alvarado Andrade,Alianza,Unión Demócrata Independiente,15505,"22,77%",1993
59,Héctor Zambrano Opazo,Concertación,Democracia Cristiana ,10230,"26,95%",1993
59,Valentín Solís Cabezas,Alianza,Unión Centro Centro,8318,"21,91%",1993
60,Pedro Muñoz Aburto,Concertación,Partido Socialista,21504,"29,79%",1993
60,Vicente Karelovic Vrandecic,Alianza,Unión Demócrata Independiente,17102,"23,69%",1993
1,Salvador Urrutia Cárdenas,Concertación,Partido por la Democracia ,14358,"21,28%",1997
1,Rosa González Román,Independiente ,Independiente,17680,"26,20%",1997
2,Antonella Sciaraffia Estrada,Concertación,Democracia Cristiana ,28580,"36,97%",1997
2,Jorge Soria Macchiavello,Concertación,Partido por la Democracia ,21184,"27,41%",1997
3,Fanny Pollarolo Villa,Concertación,Partido Socialista,26254,"40,58%",1997
3,Waldo Mora Longa,Concertación,Democracia Cristiana ,13812,"21,35%",1997
4,Felipe Valenzuela Herrera,Concertación,Partido Socialista,31556,"31,40%",1997
4,Manuel Rojas Molina,Alianza,Unión Demócrata Independiente,21412,"21,30%",1997
5,Antonio Leal Labrín,Concertación,Partido por la Democracia ,13242,"27,04%",1997
5,Carlos Vilches Guzmán,Alianza,Renovación Nacional,10502,"21,44%",1997
6,Baldo Prokurica Prokurica,Alianza,Renovación Nacional,14753,"37,89%",1997
6,Jaime Mulet Martínez,Concertación,Democracia Cristiana ,12012,"30,85%",1997
7,Joaquín Palma Irarrázaval,Concertación,Democracia Cristiana ,18642,"25,50%",1997
7,Mario Bertolino Rendic,Alianza,Renovación Nacional,15921,"21,78%",1997
8,Patricio Walker Prieto,Concertación,Democracia Cristiana ,30246,"35,00%",1997
8,Francisco Encina Moriamez,Concertación,Partido Socialista,22301,"25,81%",1997
9,Adriana Muñoz D'Albora,Concertación,Partido por la Democracia ,14757,"26,68%",1997
9,Darío Molina Sanhueza,Alianza,Unión Demócrata Independiente,8662,"15,66%",1997
10,Ignacio Walker Prieto,Concertación,Democracia Cristiana ,46015,"39,81%",1997
10,Alfonso Vargas Lyng,Alianza,Renovación Nacional,34704,"30,03%",1997
11,Nelson Ávila Contreras,Concertación,Partido por la Democracia ,56126,"58,47%",1997
11,Patricio Cornejo Vidaurrazaga,Concertación,Democracia Cristiana ,8268,"8,61%",1997
12,Juan Bustos Ramírez,Concertación,Partido Socialista,23614,"27,60%",1997
12,Arturo Longton Guerrero,Alianza,Renovación Nacional,27489,"32,13%",1997
13,Aldo Cornejo González,Concertación,Democracia Cristiana ,36691,"33,43%",1997
13,Francisco Bartolucci Johnston,Alianza,Unión Demócrata Independiente,34797,"31,71%",1997
14,Laura Soto González,Concertación,Partido por la Democracia ,39432,"31,29%",1997
14,Gonzalo Ibáñez Santa María,Alianza,Unión Demócrata Independiente,35363,"28,06%",1997
15,Samuel Venegas Rubio,Independiente ,Independiente,22342,"33,03%",1997
15,Sergio Velasco de La Cerda,Concertación,Democracia Cristiana ,14566,"21,54%",1997
16,Zarko Luksic Sandoval,Concertación,Democracia Cristiana ,34030,"30,74%",1997
16,Patricio Melero Abaroa,Alianza,Unión Demócrata Independiente,33483,"30,24%",1997
17,Manuel Bustos Huerta,Concertación,Democracia Cristiana ,33025,"22,45%",1997
17,María Antonieta Saa Díaz,Concertación,Partido por la Democracia ,49432,"33,60%",1997
18,Guido Girardi Lavín,Concertación,Partido por la Democracia ,115791,"65,92%",1997
18,Carlos Olivares Zepeda,Concertación,Democracia Cristiana ,11080,"6,31%",1997
19,Patricio Hales Dib,Concertación,Partido por la Democracia ,34625,"31,87%",1997
19,Cristián Leay Morán,Alianza,Unión Demócrata Independiente,32401,"29,82%",1997
20,Luis Pareto González,Concertación,Democracia Cristiana ,64619,"34,20%",1997
20,Gustavo Alessandri Valdés,Alianza,Renovación Nacional,55117,"29,17%",1997
21,Alberto Espina Otero,Alianza,Renovación Nacional,68627,"41,19%",1997
21,Gutenberg Martínez Ocamina,Concertación,Democracia Cristiana ,39077,"23,45%",1997
22,Alberto Cardemil Herrera,Alianza,Renovación Nacional,33917,"31,06%",1997
22,Enrique Krauss Rusque,Concertación,Democracia Cristiana ,31530,"28,87%",1997
23,Julio Dittborn Cordua,Alianza,Unión Demócrata Independiente,58446,"34,05%",1997
23,Pía Guzmán Mena,Alianza,Renovación Nacional,50516,"29,43%",1997
24,María Angélica Cristi Marfil,Alianza,Renovación Nacional,61810,"50,79%",1997
24,Tomás Jocelyn-Holt Letelier,Concertación,Democracia Cristiana ,26126,"21,47%",1997
25,Andrés Palma Irarrázaval,Concertación,Democracia Cristiana ,50462,"33,18%",1997
25,Jaime Orpis Bouchón,Alianza,Unión Demócrata Independiente,44878,"29,50%",1997
26,Carlos Montes Cisternas,Concertación,Partido Socialista,54536,"40,74%",1997
26,Lily Pérez San Martín,Alianza,Renovación Nacional,41228,"30,80%",1997
27,Eliana Caraball Martínez,Concertación,Democracia Cristiana ,39736,"25,58%",1997
27,Iván Moreira Barros,Alianza,Unión Demócrata Independiente,58049,"37,38%",1997
28,Rodolfo Seguel Molina,Concertación,Democracia Cristiana ,38114,"25,43%",1997
28,Darío Paya Mira,Alianza,Unión Demócrata Independiente,34325,"22,90%",1997
29,Maximiano Errázuriz Eguiguren,Alianza,Renovación Nacional,54260,"35,94%",1997
29,Isabel Allende Bussi,Concertación,Partido Socialista,53694,"35,57%",1997
30,Pablo Longueira Montes,Alianza,Unión Demócrata Independiente,51360,"40,45%",1997
30,Edgardo Riveros Marín,Concertación,Democracia Cristiana ,36483,"28,73%",1997
31,Juan Antonio Coloma Correa,Alianza,Unión Demócrata Independiente,62772,"47,53%",1997
31,Jaime Jiménez Villavicencio,Concertación,Democracia Cristiana ,34944,"26,46%",1997
32,Aníbal Pérez Lobos,Concertación,Partido por la Democracia ,30927,"37,88%",1997
32,Alejandro García-Huidobro,Chile 2000,Unión Centro Centro,18890,"23,14%",1997
33,Juan Pablo Letelier Morel,Concertación,Partido Socialista,58710,"57,58%",1997
33,Ricardo Rincón González,Concertación,Democracia Cristiana ,8911,"8,74%",1997
34,Juan Nuñez Valenzuela,Concertación,Democracia Cristiana ,18071,"22,39%",1997
34,Juan Masferrer Pellizari,Alianza,Unión Demócrata Independiente,15251,"18,90%",1997
35,Rafael Arratia Valdebenito,Concertación,Democracia Cristiana ,19347,"28,61%",1997
35,María Victoria Ovalle Ovalle,Chile 2000,Unión Centro Centro,16170,"23,91%",1997
36,Roberto León Ramírez,Concertación,Democracia Cristiana ,29925,"29,84%",1997
36,Sergio Correa de La Cerda,Alianza,Unión Demócrata Independiente,20110,"20,05%",1997
37,Sergio Aguiló Melo,Concertación,Partido Socialista,37649,"52,03%",1997
37,Homero Gutiérrez Román,Concertación,Democracia Cristiana ,10616,"14,67%",1997
38,Pedro Álvarez-Salamanca Büchi,Alianza,Renovación Nacional,21015,"32,42%",1997
38,Pablo Lorenzini Basso,Concertación,Democracia Cristiana ,16276,"25,11%",1997
39,Jaime Naranjo Ortiz,Concertación,Partido Socialista,38164,"50,21%",1997
39,Osvaldo Palma Flores,Alianza,Renovación Nacional,14463,"19,03%",1997
40,Guillermo Ceroni Fuentes,Concertación,Partido por la Democracia ,22946,"35,07%",1997
40,Osvaldo Vega Vera,Alianza,Renovación Nacional,20013,"30,59%",1997
41,Rosauro Martínez Labbé,Alianza,Renovación Nacional,49722,"46,18%",1997
41,Carlos Abel Jarpa Wevar,Concertación,Partido Radical,33558,"31,17%",1997
42,Iván Mesías Lehu,Concertación,Partido Radical,38532,"37,94%",1997
42,Felipe Letelier Norambuena,Concertación,Partido por la Democracia ,26342,"25,94%",1997
43,Jorge Ulloa Aguillón,Alianza,Unión Demócrata Independiente,31373,"32,94%",1997
43,Víctor Jeame Barrueto,Concertación,Partido por la Democracia ,30842,"32,38%",1997
44,José Miguel Ortiz Novoa,Concertación,Democracia Cristiana ,41499,"30,74%",1997
44,Enrique van Rysselberghe Herrera,Alianza,Unión Demócrata Independiente,34609,"25,64%",1997
45,Alejandro Navarro Brain,Concertación,Partido Socialista,33949,"35,98%",1997
45,Edmundo Salas de la Fuente,Concertación,Democracia Cristiana ,31316,"33,19%",1997
46,Jaime Rocha Manrique,Concertación,Partido Radical,23661,"30,76%",1997
46,Haroldo Fossa Rojas,Alianza,Renovación Nacional,11409,"14,83%",1997
47,Víctor Pérez Varela,Alianza,Unión Demócrata Independiente,43640,"36,28%",1997
47,José Pérez Arriagada,Concertación,Partido Radical,29311,"24,37%",1997
48,Luis Monge Sánchez,Alianza,Unión Demócrata Independiente,17454,"27,92%",1997
48,Edmundo Villouta Concha,Concertación,Democracia Cristiana ,15299,"24,47%",1997
49,Miguel Hernández Saffirio,Concertación,Democracia Cristiana ,20208,"35,56%",1997
49,José Antonio Galilea Vidaurre,Alianza,Renovación Nacional,13596,"23,93%",1997
50,Francisco Huenchumilla Jaramillo,Concertación,Democracia Cristiana ,48028,"48,49%",1997
50,José García Ruminot,Alianza,Renovación Nacional,35388,"35,73%",1997
51,Eduardo Díaz del Río,Alianza,Partido del Sur,20813,"33,75%",1997
51,Eugenio Tuma Zedán,Concertación,Partido por la Democracia ,12840,"20,82%",1997
52,René Manuel García García,Alianza,Renovación Nacional,24752,"45,57%",1997
52,Mario Acuña Cisternas,Concertación,Democracia Cristiana ,18142,"33,40%",1997
53,Exequiel Silva Ortiz,Concertación,Democracia Cristiana ,26100,"36,46%",1997
53,Roberto Delmastro Naso,Alianza,Renovación Nacional,15332,"21,42%",1997
54,Carlos Caminondo Sáez,Alianza,Renovación Nacional,21170,"29,27%",1997
54,Enrique Jaramillo Becker,Concertación,Partido por la Democracia ,18743,"25,91%",1997
55,Sergio Ojeda Uribe,Concertación,Democracia Cristiana ,24332,"34,73%",1997
55,Marina Prochelle Aguilar,Alianza,Renovación Nacional,13911,"19,85%",1997
56,Víctor Reyes Alvarado,Concertación,Democracia Cristiana ,18274,"28,90%",1997
56,Carlos Recondo Lavanderos,Alianza,Unión Demócrata Independiente,16241,"25,69%",1997
57,Carlos Ignacio Kuschel Silva,Alianza,Renovación Nacional,22284,"31,54%",1997
57,Sergio Elgueta Barrientos,Concertación,Democracia Cristiana ,19404,"27,46%",1997
58,Claudio Alvarado Andrade,Alianza,Unión Demócrata Independiente,23316,"36,35%",1997
58,Gabriel Ascencio Mansilla,Concertación,Democracia Cristiana ,15359,"23,95%",1997
59,Pablo Galilea Carrillo,Alianza,Renovación Nacional,11163,"32,40%",1997
59,Leopoldo Sánchez Grunert,Concertación,Partido por la Democracia ,9055,"26,28%",1997
60,Pedro Muñoz Aburto,Concertación,Partido Socialista,19948,"34,15%",1997
60,Rodrigo Álvarez Zenteno,Alianza,Unión Demócrata Independiente,13570,"23,23%",1997
1,Iván Paredes Fierro,Concertación,Partido Socialista,26886,"37,68%",2001
1,Rosa González Román,Alianza,Unión Demócrata Independiente,10835,"15,18%",2001
2,Fulvio Rossi Coicca,Concertación,Partido Socialista,24480,"29,18%",2001
2,Ramón Pérez Opazo,Alianza,Unión Demócrata Independiente,17454,"20,80%",2001
3,Waldo Mora Longa,Concertación,Democracia Cristiana ,14433,"22,08%",2001
3,Mario Escobar Urbina,Alianza,Unión Demócrata Independiente,13745,"21,03%",2001
4,Manuel Rojas Molina,Alianza,Unión Demócrata Independiente,37033,"35,75%",2001
4,Pedro Araya Guerrero,Concertación,Democracia Cristiana ,32338,"31,22%",2001
5,Antonio Leal Labrín,Concertación,Partido por la Democracia ,29382,"51,05%",2001
5,Carlos Vilches Guzmán,Alianza,Renovación Nacional,10960,"19,04%",2001
6,Jaime Mulet Martínez,Concertación,Democracia Cristiana ,17378,"42,38%",2001
6,Alberto Robles Pantoja,Concertación,Partido Radical,8947,"21,82%",2001
7,Víctor Manuel Rebolledo,Concertación,Partido por la Democracia ,22178,"27,57%",2001
7,Mario Bertolino Rendic,Alianza,Renovación Nacional,17884,"22,23%",2001
8,Patricio Walker Prieto,Concertación,Democracia Cristiana ,43516,"45,35%",2001
8,Francisco Encina Moriamez,Concertación,Partido Socialista,19544,"20,37%",2001
9,Adriana Muñoz D'Albora,Concertación,Partido por la Democracia ,23380,"39,44%",2001
9,Darío Molina Sanhueza,Alianza,Unión Demócrata Independiente,13673,"23,06%",2001
10,Alfonso Vargas Lyng,Alianza,Renovación Nacional,38631,"31,42%",2001
10,María Eugenia Mella Gajardo,Concertación,Democracia Cristiana ,28800,"23,42%",2001
11,Patricio Cornejo Vidaurrazaga,Concertación,Democracia Cristiana ,26798,"27,84%",2001
11,Marcelo Forni Lobos,Alianza,Unión Demócrata Independiente,22395,"23,27%",2001
12,Arturo Longton Guerrero,Alianza,Renovación Nacional,29874,"29,20%",2001
12,Juan Bustos Ramírez,Concertación,Partido Socialista,27217,"26,60%",2001
13,Laura Soto González,Concertación,Partido por la Democracia ,34527,"26,53%",2001
13,Carmen Ibáñez Soto,Alianza,Renovación Nacional,32113,"24,68%",2001
14,Gonzalo Ibáñez Santa María,Alianza,Unión Demócrata Independiente,59822,"41,34%",2001
