Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
20,Roberto Sepúlveda Hermosilla,Alianza,Renovación Nacional,45992,"19,24%",2005
21,Marcela Cubillos Sigall,Alianza,Unión Demócrata Independiente,51749,"29,02%",2005
21,Jorge Burgos Varela,Concertación,Democracia Cristiana ,48683,"27,30%",2005
22,Carolina Tohá Morales,Concertación,Partido por la Democracia ,45769,"39,79%",2005
22,Alberto Cardemil Herrera,Alianza,Renovación Nacional,32827,"28,54%",2005
23,Julio Dittborn Cordua,Alianza,Unión Demócrata Independiente,79167,"39,31%",2005
23,Cristián Monckeberg Bruner,Alianza,Renovación Nacional,50923,"25,22%",2005
24,María Angélica Cristi Marfil,Alianza,Unión Demócrata Independiente,49918,"36,95%",2005
24,Enrique Accorsi Opazo,Concertación,Partido por la Democracia ,38708,"28,65%",2005
25,Ximena Vidal Lázaro,Concertación,Partido por la Democracia ,52745,"33,81%",2005
25,Felipe Salaberry Soto,Alianza,Unión Demócrata Independiente,30109,"19,30%",2005
26,Carlos Montes Cisternas,Concertación,Partido Socialista,69997,"48,08%",2005
26,Gonzalo Duarte Leiva,Concertación,Democracia Cristiana ,20448,"14,05%",2005
27,Iván Moreira Barros,Alianza,Unión Demócrata Independiente,49213,"30,40%",2005
27,Tucapel Jiménez Fuentes,Concertación,Partido por la Democracia ,46710,"28,85%",2005
28,Jorge Insunza Gregorio De Las Heras,Concertación,Partido por la Democracia ,37292,"24,53%",2005
28,Darío Paya Mira,Alianza,Unión Demócrata Independiente,31691,"20,85%",2005
29,Isabel Allende Bussi,Concertación,Partido Socialista,81493,"43,49%",2005
29,Maximiano Errázuriz Eguiguren,Alianza,Renovación Nacional,59054,"31,51%",2005
30,Ramón Farías Ponce,Concertación,Partido por la Democracia ,54050,"35,70%",2005
30,José Antonio Kast Rist,Alianza,Unión Demócrata Independiente,47950,"31,67%",2005
31,Denise Pascal Allende,Concertación,Partido Socialista,43138,"27,14%",2005
31,Gonzalo Uriarte Herrera,Alianza,Unión Demócrata Independiente,54869,"34,53%",2005
32,Esteban Valenzuela Van-Treek,Concertación,Partido por la Democracia ,33579,"36,91%",2005
32,Alejandro García-Huidobro,Alianza,Unión Demócrata Independiente,33534,"36,86%",2005
33,Alejandro Sule Fernández,Concertación,Partido Radical,42248,"37,24%",2005
33,Eugenio Bauer Jouanne,Alianza,Unión Demócrata Independiente,26509,"23,37%",2005
34,Alejandra Sepúlveda Orbenes,Concertación,Democracia Cristiana ,50045,"54,42%",2005
34,Juan Masferrer Pellizari,Alianza,Unión Demócrata Independiente,17860,"19,42%",2005
35,Juan Carlos Latorre Carmona,Concertación,Democracia Cristiana ,34268,"45,86%",2005
35,Ramón Barros Montero,Alianza,Unión Demócrata Independiente,25349,"33,93%",2005
36,Roberto León Ramírez,Concertación,Democracia Cristiana ,48009,"41,75%",2005
36,Sergio Correa de la Cerda,Alianza,Unión Demócrata Independiente,32435,"28,20%",2005
37,Sergio Aguiló Melo,Concertación,Partido Socialista,29366,"35,04%",2005
